   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA ,EBIT  ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt   ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,26.03                    ,23.91           ,30.64        ,                     15.15 ,- -                    ,43.25                   ,-13.49                      ,48.63         ,53.54                       ,1.27                      ,54.23             ,1.37                        ,54.07               ,36.73  ,8.49              ,43.25 ,43.25 ,3.66             ,13.66                ,23.93             ,3.79               ,              0.03 ,4.39                 ,47.79                          ,36.73                   ,59.82                   ,18.93       ,15.59           ,40.25                ,                         10.25 ,                     7.7  ,- -                          ,          13.02 ,                  12.5  ,       24.75 ,30.21               ,-11.78    ,- -                  ,30.18                     ,6.19    ,9.17                 ,6.81                         ,14.88             ,              102.72 ,1.15         ,27.38             ,-15.32       ,32.92                           ,32.9         ,                     24.75 ,1.35               ,-25.68   ,-44.08             ,38.74                        ,7.74          ,-9.58                 ,21.43               ,53.54      ,4.39                        ,-5001.73       ,                   25.42 ,-179.63                  ,-27.03                         ,73.58                 ,80.6                        ,-6.69                          ,1.3            ,32.48          ,- -                         ,-288.57                        ,-19.11              ,73.58                ,-39.25         ,37.43                ,-53.28                  ,0.016594756184157733
 1 ,2011 ,10.85                    ,12.53           ,7.38         ,                     10.9  ,- -                    ,5.07                    ,-47.88                      ,8             ,5.26                        ,-2.39                     ,8.18              ,-2.55                       ,8.36                ,6.49   ,-3.94             ,5.07  ,5.07  ,-3.14            ,-5.22                ,-4.74             ,10.85              ,              1.16 ,16.13                ,3.96                           ,-2.05                   ,6.77                    ,18.34       ,15.04           ,9.49                 ,                          3.68 ,                     5.97 ,- -                          ,          13.69 ,                  11.87 ,       10.69 ,-14.72              ,-15.34    ,- -                  ,-1.92                     ,72.18   ,10.38                ,58.92                        ,35.1              ,               30.54 ,-7.39        ,-6.99             ,41.65        ,-6.42                           ,-6.74        ,                     10.69 ,-7.08              ,214.49   ,237.23             ,-45                          ,11.64         ,14.88                 ,- -                 ,5.26       ,16.13                       ,-126.95        ,                   12.98 ,-20.54                   ,33.02                          ,-8.44                 ,-41.03                      ,23.74                          ,-1.26          ,10.06          ,- -                         ,-333.54                        ,-111.9              ,-8.44                ,47.41          ,-32.19               ,25.97                   ,-0.1389150880654183
 2 ,2012 ,8.94                     ,9.37            ,8.0          ,                      1    ,- -                    ,12.84                   ,169.47                      ,8.66          ,5.8                         ,-4.79                     ,11.26             ,-4.59                       ,11.03               ,11.32  ,2.18              ,12.84 ,12.84 ,-0.86            ,3.58                 ,-2.76             ,2.39               ,            616.26 ,1.96                 ,45.24                          ,34.12                   ,18.71                   ,12.9        ,4.1             ,24.1                 ,                          9.71 ,                     9.36 ,- -                          ,          11.02 ,                  10.8  ,       17.33 ,41.18               ,33555.37  ,- -                  ,38.31                     ,16.66   ,15.49                ,16.49                        ,22.69             ,               77.91 ,-1.84        ,5.12              ,-2.54        ,11.89                           ,11.78        ,                     17.33 ,-2                 ,17.82    ,5.4                ,-4.51                        ,-10.27        ,4.14                  ,6.39                ,5.8        ,1.96                        ,-36.01         ,                    9.53 ,-83.35                   ,19.37                          ,28.81                 ,231.78                      ,14.55                          ,581.99         ,50.97          ,-43.47                      ,-91.34                         ,-1098.49            ,28.81                ,17.33          ,9.88                 ,12.68                   ,0.3016159297365295
 3 ,2013 ,7.52                     ,7.29            ,8.01         ,                      6.86 ,- -                    ,8.73                    ,9.02                        ,8.71          ,14.16                       ,-1.5                      ,16.21             ,-1.04                       ,15.67               ,9.15   ,1.52              ,8.73  ,8.73  ,0.46             ,1.12                 ,6.47              ,0.51               ,             40.1  ,12.07                ,26.49                          ,28.37                   ,9.92                    ,8.03        ,43.14           ,16.65                ,                         27.55 ,                    17.92 ,- -                          ,          18.5  ,                  20.01 ,       18.26 ,15.25               ,599.39    ,- -                  ,81.19                     ,-10.88  ,-11.46               ,-10.97                       ,18.56             ,               45.49 ,-0.62        ,9.69              ,-53.03       ,17.68                           ,17.93        ,                     18.26 ,-1.03              ,22.68    ,4.03               ,-29.79                       ,-35.62        ,0.03                  ,6.97                ,14.16      ,12.07                       ,53.88          ,                   14.83 ,29.52                    ,13.99                          ,22.73                 ,-54.44                      ,40.46                          ,38             ,-21            ,-14.57                      ,-929.94                        ,9.72                ,22.73                ,11.92          ,19.8                 ,-0.42                   ,0.09311059590573789
 4 ,2014 ,15.84                    ,15.42           ,16.75        ,                     17.71 ,- -                    ,16.16                   ,35.71                       ,14.87         ,11.97                       ,-1.6                      ,13.37             ,-1.26                       ,12.98               ,17.08  ,1.07              ,16.16 ,16.16 ,0.79             ,0.28                 ,-3.7              ,1.67               ,              7.02 ,23.17                ,11.53                          ,9.25                    ,12.26                   ,9.2         ,7.83            ,10.97                ,                         10.95 ,                     7.78 ,- -                          ,          18.33 ,                  17.02 ,       13.93 ,14.92               ,-99.77    ,- -                  ,-35.05                    ,86.69   ,50.5                 ,81.37                        ,24.37             ,               34.61 ,88.68        ,1.2               ,274.51       ,1.67                            ,2.01         ,                     13.93 ,-2.06              ,36.83    ,34.14              ,-98.72                       ,70.86         ,-5.96                 ,13.93               ,11.97      ,23.17                       ,-39.43         ,                   14.78 ,-45.77                   ,14.54                          ,31.97                 ,12.16                       ,12.78                          ,5.3            ,326.73         ,66.15                       ,-87.02                         ,-38.64              ,31.97                ,10.02          ,3.5                  ,2.68                    ,0.10380379983032983
 5 ,2015 ,4.18                     ,3.77            ,5.06         ,                      3.72 ,- -                    ,5.88                    ,-24.41                      ,8.26          ,7.98                        ,-1.28                     ,9.07              ,-1.22                       ,9                   ,5.36   ,1.14              ,5.88  ,5.88  ,0.85             ,1.64                 ,3.36              ,4.18               ,             58.35 ,2.08                 ,32.4                           ,79.3                    ,-1.7                    ,-1.59       ,-28.08          ,9.87                 ,                          3.18 ,                     4.87 ,- -                          ,           2.27 ,                   2.43 ,        6.14 ,-3.44               ,-81.25    ,- -                  ,-3.56                     ,5.27    ,-3.45                ,4.21                         ,2.22              ,               18.78 ,- -          ,14.3              ,69.83        ,11.39                           ,11.59        ,                      6.14 ,-0.61              ,-36.87   ,-43.43             ,4402.5                       ,13.92         ,-0.75                 ,- -                 ,7.98       ,2.08                        ,207.69         ,                    6.76 ,-609.57                  ,16.98                          ,-17.69                ,-657.97                     ,-96.51                         ,56.33          ,-97.02         ,-53.86                      ,-1377.3                        ,627.76              ,-17.69               ,27.78          ,-13.58               ,8.65                    ,-0.012664405031952097
 6 ,2016 ,12.89                    ,12.07           ,14.64        ,                     19.29 ,- -                    ,11.83                   ,74.83                       ,8.39          ,7.81                        ,-0.26                     ,8.06              ,-0.41                       ,8.22                ,13.79  ,0.8               ,11.83 ,11.83 ,1.55             ,-0.93                ,-4.52             ,-7.69              ,              8.69 ,26.46                ,-33.36                         ,-40.44                  ,22.15                   ,9.05        ,4.95            ,-6.72                ,                         16.72 ,                    13.78 ,- -                          ,          39.92 ,                  36    ,       13.95 ,24.99               ,124966.67 ,- -                  ,62.16                     ,-6.32   ,40.88                ,-0.98                        ,14.25             ,               30.32 ,- -          ,11.35             ,34.19        ,13.48                           ,13.56        ,                     13.95 ,0.1                ,83.6     ,61.67              ,-275.4                       ,-42.48        ,-3.19                 ,22.29               ,7.81       ,26.46                       ,-88.57         ,                    7.69 ,-57.68                   ,4.57                           ,10.87                 ,-136.89                     ,5807.33                        ,8.41           ,- -            ,30.9                        ,-25.87                         ,-181.23             ,10.87                ,3.31           ,21.34                ,-2.98                   ,0.20344616110562663
 7 ,2017 ,11.53                    ,10.71           ,13.23        ,                     10.04 ,- -                    ,15.28                   ,-21.35                      ,18.52         ,-20.65                      ,-0.84                     ,-20.28            ,0.41                        ,-21.27              ,13.68  ,1.93              ,15.28 ,15.28 ,1.52             ,3.36                 ,-29.12            ,-1.22              ,             19.71 ,4.52                 ,49.48                          ,66.16                   ,18.48                   ,19.16       ,40.77           ,29.65                ,                         14.82 ,                    17.36 ,- -                          ,           7.98 ,                   8.97 ,       17.71 ,25.26               ,-99.71    ,- -                  ,-3.41                     ,34.38   ,66.29                ,39.51                        ,24.81             ,               22.34 ,- -          ,-5.8              ,-57.14       ,8.57                            ,8.6          ,                     17.71 ,-0.84              ,-7.72    ,-15.03             ,-18.94                       ,34.23         ,3.51                  ,12.9                ,-20.65     ,4.52                        ,7275           ,                    4.41 ,-16.53                   ,6.18                           ,18.76                 ,-187.01                     ,-76.42                         ,18.7           ,465.08         ,89.69                       ,4.94                           ,-193.31             ,18.76                ,3.47           ,21.82                ,34.32                   ,0.12387491798809358
 8 ,2018 ,16.98                    ,17.99           ,14.94        ,                      9.25 ,- -                    ,18.43                   ,35.1                        ,17.45         ,84.18                       ,-1.47                     ,88.01             ,-1.23                       ,87.55               ,20.3   ,2.84              ,18.43 ,18.43 ,-1.75            ,1.23                 ,58.35             ,11.26              ,             25.61 ,32.14                ,-26.34                         ,-25.58                  ,12.09                   ,11.46       ,29.22           ,-1.81                ,                          7.22 ,                     8.61 ,- -                          ,           1.47 ,                   2.34 ,        0.41 ,6.89                ,69381.82  ,- -                  ,55.2                      ,-20.76  ,-13.89               ,-19.44                       ,0.34              ,               14.74 ,- -          ,1.09              ,94.13        ,0.68                            ,0.51         ,                      0.41 ,-2.36              ,25.66    ,25.02              ,9.86                         ,-36.74        ,-2.05                 ,5.14                ,84.18      ,32.14                       ,-81.53         ,                   11.87 ,-2261.84                 ,-2.75                          ,37.07                 ,-78.94                      ,16.2                           ,23.76          ,-23.7          ,51.33                       ,663.81                         ,-163.98             ,37.07                ,-12.59         ,-13.68               ,-47.5                   ,-0.005868467293562496
 9 ,2019 ,0.29                     ,1.12            ,-1.47        ,                      1.24 ,- -                    ,-3                      ,38.97                       ,-5.82         ,-4.35                       ,-1.23                     ,-2.96             ,-1.49                       ,-2.7                ,-1.92  ,-2.2              ,-3    ,-3    ,-1.75            ,-3.27                ,-4.42             ,-0.26              ,             11.54 ,4.14                 ,-29.66                         ,-30.34                  ,-3.09                   ,6.18        ,0.71            ,-7.88                ,                         14.07 ,                    13.49 ,- -                          ,          21.92 ,                  20.66 ,        7.67 ,2.51                ,-47.23    ,- -                  ,-13                       ,14.15   ,22.16                ,15.79                        ,3.99              ,               17.45 ,- -          ,12.6              ,10.43        ,12.78                           ,13.09        ,                      7.67 ,-0.2               ,18.51    ,4.79               ,32.24                        ,5.88          ,9.41                  ,0.54                ,-4.35      ,4.14                        ,112.16         ,                   13.31 ,-85.18                   ,35.01                          ,-5.02                 ,-116.74                     ,178.13                         ,10.17          ,144.67         ,-35.66                      ,-39.41                         ,-6.09               ,-5.02                ,50.52          ,4.21                 ,40.86                   ,0.06029274340339352
10 ,2020 ,4.54                     ,5.8             ,1.84         ,                      4.41 ,- -                    ,0.32                    ,-17.08                      ,2.05          ,4.24                        ,0.18                      ,4                 ,-0.15                       ,4.34                ,0.07   ,-4.28             ,0.32  ,0.32  ,-2.58            ,-4.04                ,-0.34             ,-3.3               ,              6.28 ,-1.28                ,91.29                          ,90.98                   ,12.39                   ,11.61       ,32.33           ,30.39                ,                          5.57 ,                    12.35 ,- -                          ,           3.15 ,                   3.52 ,       13.98 ,19.93               ,-42.9     ,- -                  ,8.05                      ,13.51   ,5.85                 ,11.86                        ,10.55             ,               22.87 ,- -          ,10.66             ,-35.46       ,18.86                           ,18.62        ,                     13.98 ,0.47               ,-20.29   ,-32.8              ,-102.5                       ,20.68         ,-0.68                 ,8.11                ,4.24       ,-1.28                       ,10.16          ,                   11.9  ,-52.79                   ,5.97                           ,-6.17                 ,384.21                      ,-72.86                         ,6.48           ,79.42          ,6.58                        ,-20.33                         ,-297.89             ,-6.17                ,8.94           ,15.6                 ,1.71                    ,0.05829836535921862
11 ,2021 ,26.48                    ,25.94           ,27.69        ,                     20.91 ,- -                    ,31.86                   ,51.09                       ,30.3          ,30.23                       ,0.3                       ,31.79             ,1.71                        ,29.97               ,31.31  ,3.82              ,31.86 ,31.86 ,0.95             ,4.25                 ,4.51              ,12.43              ,             16.15 ,28.4                 ,-28.58                         ,-29.67                  ,25.78                   ,29.54       ,8.56            ,8.51                 ,                         11.45 ,                    12.3  ,- -                          ,          30.49 ,                  27.55 ,       19.07 ,17.8                ,-98.26    ,- -                  ,6.2                       ,31.89   ,12.99                ,28.03                        ,20.71             ,               16.48 ,100          ,15.48             ,3.02         ,17.03                           ,17.01        ,                     19.07 ,0.08               ,66.45    ,42.26              ,-3193.67                     ,2.18          ,-4.04                 ,12.5                ,30.23      ,28.4                        ,-47.6          ,                   17.73 ,1514.06                  ,-3.26                          ,30.2                  ,-53.26                      ,465.97                         ,16.5           ,-38.3          ,3.18                        ,-71.89                         ,-166.4              ,30.2                 ,-10.3          ,33.96                ,-26.82                  ,0.08050067648540682
12 ,2022 ,16.06                    ,14.99           ,18.41        ,                     15.87 ,- -                    ,19.85                   ,-24.91                      ,24.04         ,21.31                       ,-0.28                     ,19.92             ,-0.72                       ,20.45               ,16.69  ,0.54              ,19.85 ,19.85 ,2.03             ,3.26                 ,3.03              ,14.78              ,             38.09 ,-0.68                ,15.53                          ,14.7                    ,7.19                    ,10.53       ,-13.02          ,8.74                 ,                          2.47 ,                     2.76 ,- -                          ,           1.3  ,                   1.46 ,        4.41 ,9.43                ,-32.5     ,- -                  ,9.36                      ,-4.61   ,-7.13                ,-5.06                        ,-0.81             ,               10.02 ,- -          ,16.37             ,86.74        ,11.32                           ,11.21        ,                      4.41 ,-0.72              ,-11.05   ,-20.02             ,-89.43                       ,-0.56         ,4.09                  ,1.11                ,21.31      ,-0.68                       ,58.8           ,                    7.83 ,-56.47                   ,41.2                           ,6.49                  ,844.19                      ,-61.27                         ,37.7           ,-96.73         ,10.4                        ,724.17                         ,-150.1              ,6.49                 ,51.8           ,-35.54               ,18.08                   ,0.07486939398756798
13 ,2023 ,-0.54                    ,-1.45           ,1.39         ,                      4.86 ,- -                    ,-0.5                    ,-0.36                       ,-0.51         ,1.5                         ,0.05                      ,1.3               ,-0.06                       ,1.42                ,0.01   ,0.56              ,-0.5  ,-0.5  ,1.94             ,0.04                 ,1.9               ,-4.73              ,              4.81 ,3.44                 ,15.76                          ,7.42                    ,-0.49                   ,3.51        ,21.75           ,5.5                  ,                          9.17 ,                    10.95 ,- -                          ,           9.6  ,                   9.54 ,        7.83 ,4.69                ,13003.7   ,- -                  ,17.81                     ,-12.93  ,-1.76                ,-10.96                       ,-1.61             ,               17    ,- -          ,18.91             ,-0.26        ,18.97                           ,18.78        ,                      7.83 ,0.69               ,-10.68   ,-24.8              ,-649.34                      ,-10.45        ,7.2                   ,4.4                 ,1.5        ,3.44                        ,-58.96         ,                   10.61 ,-164.57                  ,16.28                          ,-2.87                 ,-26.85                      ,90.63                          ,4.86           ,600            ,-19.9                       ,-15.4                          ,-50.32              ,-2.87                ,20.39          ,15.19                ,14.73                   ,0.07269474508755991
