   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,14.96                    ,21.05           ,13.41        ,-4.83                      ,- -                    ,14.81                   ,-30.78                      ,19.78         ,15.29                       ,-0.1                      ,15.33             ,-0.08                       ,15.3                ,13.15  ,-1.58             ,14.81  ,14.81  ,-1.34            ,-0.13                ,0.22              ,1.09               ,198.99             ,2.63                 ,-85.59                         ,228.17                  ,19.81                   ,- -         ,2426.93         ,-19.58               ,6.54                           ,1.18                      ,- -                          ,2.33            ,2.44                    ,-1.7         ,10.92               ,40.26   ,-30.24               ,-26.71                    ,4.47    ,2.82                 ,3.16                         ,-8.76             ,0.53                 ,- -          ,28.84             ,-17.51       ,3.93                            ,4.28         ,-1.7                       ,0.51               ,-18.69   ,-22.02             ,18.1                         ,9.73          ,-174                  ,13.72               ,15.29      ,2.63                        ,185.41         ,22.46                    ,-221.7                   ,25.23                          ,1.33                  ,-93.07                      ,-119.9                         ,198.69         ,-18.22         ,-217.78                     ,-60.76                         ,-1694.1             ,1.33                 ,29.31          ,-22.7                ,8.7                     ,-0.15497852918564825
 1 ,2011 ,9.22                     ,8.66            ,9.37         ,3.11                       ,- -                    ,18.08                   ,107.18                      ,12.46         ,90.57                       ,0.38                      ,89.78             ,0.4                         ,89.73               ,15.97  ,6.18              ,18.08  ,18.08  ,0.14             ,8.12                 ,74.41             ,2.44               ,-59.31             ,0.97                 ,1051.29                        ,21.88                   ,-2.72                   ,- -         ,-94.44          ,103.17               ,4.46                           ,7.58                      ,- -                          ,0.42            ,0.52                    ,16.3         ,-39.96              ,- -     ,122.43               ,101.1                     ,0.1     ,-7.69                ,-6.07                        ,28.28             ,-0.94                ,- -          ,49.86             ,-207.2       ,7.44                            ,7.43         ,16.3                       ,-1.08              ,-36.26   ,-40.67             ,-82.99                       ,1.03          ,113.88                ,6.61                ,90.57      ,0.97                        ,-645.17        ,25.43                    ,-466.93                  ,-0.74                          ,7.62                  ,-97.75                      ,41.7                           ,-59.16         ,- -            ,-793.08                     ,53.9                           ,-68.53              ,7.62                 ,-1.86          ,-23.51               ,-47.89                  ,-0.22642863546693248
 2 ,2012 ,-11.16                   ,-22.9           ,-7.99        ,25.49                      ,- -                    ,-21.72                  ,-100.62                     ,-12.55        ,-50.03                      ,-0.45                     ,-50.32            ,-0.45                       ,-50.32              ,-19.69 ,-9.61             ,-21.72 ,-21.72 ,3.56             ,-11.89               ,-44.33            ,-6.37              ,229.88             ,-2.84                ,-84.06                         ,53.96                   ,-7.57                   ,- -         ,2818.79         ,-20.35               ,-89.83                         ,-48.22                    ,- -                          ,3.69            ,1.11                    ,-4.65        ,34.08               ,78.29   ,-28.78               ,-20.78                    ,- -     ,2.96                 ,2.3                          ,-9.3              ,0.59                 ,371.43       ,-7.66             ,87.54        ,-0.62                           ,-0.54        ,-4.65                      ,0.36               ,17.6     ,18.23              ,149.97                       ,0.54          ,-7.31                 ,-5.11               ,-50.03     ,-2.84                       ,-110.06        ,19.69                    ,-98.59                   ,-9.62                          ,-17.65                ,-2590.91                    ,34.11                          ,228.41         ,22.98          ,- -                         ,-55.41                         ,200.59              ,-17.65               ,-8.44          ,14.15                ,82.75                   ,-0.020154397637528243
 3 ,2013 ,0.74                     ,3.24            ,0.18         ,2.36                       ,- -                    ,-3.25                   ,-2671.43                    ,-5.46         ,7.87                        ,0.43                      ,8.51              ,0.63                        ,8.3                 ,-3.6   ,-4.31             ,-3.25  ,-3.25  ,-0.56            ,-3.97                ,8.18              ,-4.05              ,-51.28             ,-5.93                ,52.78                          ,53.9                    ,13.16                   ,- -         ,217.64          ,179.95               ,-297.37                        ,-29.09                    ,- -                          ,-0.08           ,-0.91                   ,39.66        ,-13.19              ,0.03    ,230.01               ,206.04                    ,0.02    ,0.86                 ,0.67                         ,90.8              ,1.69                 ,- -          ,-12.49            ,-27.38       ,-1.23                           ,-1.61        ,39.66                      ,0.61               ,-69.05   ,-68.55             ,-56.32                       ,-8.53         ,-3.29                 ,5                   ,7.87       ,-5.93                       ,34.92          ,-11.4                    ,665                      ,5.24                           ,-11.42                ,-566.06                     ,-192.48                        ,-51.07         ,0.13           ,- -                         ,35.15                          ,53.81               ,-11.42               ,7.43           ,52.63                ,-3.44                   ,0.344055003550088
 4 ,2014 ,6.0                      ,5.4             ,6.14         ,8.25                       ,- -                    ,8.03                    ,-108.33                     ,10.64         ,15.21                       ,0.52                      ,14.79             ,0.5                         ,14.82               ,6.75   ,0.7               ,8.03   ,8.03   ,0.13             ,1.91                 ,8.85              ,7.98               ,148.55             ,-2.06                ,-43.23                         ,-44.69                  ,12.72                   ,- -         ,89.03           ,74.33                ,40.67                          ,-0.88                     ,- -                          ,-0.36           ,-0.59                   ,33.1         ,1.93                ,5309.63 ,-95.88               ,78.16                     ,0.03    ,-0.26                ,-0.2                         ,54.96             ,0.52                 ,3.03         ,-5.07             ,-95.92       ,-1.09                           ,-1.12        ,33.1                       ,0.48               ,10563.04 ,10683.82           ,-39.02                       ,-2.15         ,52.4                  ,-1.83               ,15.21      ,-2.06                       ,65.08          ,0.74                     ,1207.84                  ,0.85                           ,12.02                 ,-100.63                     ,-204.51                        ,149.84         ,- -            ,- -                         ,262.36                         ,-227.58             ,12.02                ,-0.36          ,12.64                ,-12.6                   ,0.06943796628876098
 5 ,2015 ,6.89                     ,-0.45           ,8.58         ,-4.65                      ,- -                    ,12.46                   ,-1163.33                    ,10.47         ,10.66                       ,0.54                      ,10.04             ,0.54                        ,10.04               ,10.78  ,3.64              ,12.46  ,12.46  ,1.58             ,5.21                 ,3.51              ,13.22              ,-10.73             ,-1.97                ,22.51                          ,23.9                    ,4.87                    ,- -         ,-12.22          ,-10.91               ,27.92                          ,-3.38                     ,- -                          ,-0.55           ,-0.77                   ,-6.74        ,-22.22              ,-12.36  ,33.99                ,-11.33                    ,6.33    ,0.98                 ,2.13                         ,-8.77             ,0.71                 ,- -          ,-12.35            ,-1403.23     ,-1.78                           ,-1.78        ,-6.74                      ,0.44               ,-12.6    ,-11.02             ,16.62                        ,0.48          ,19.06                 ,-5.6                ,10.66      ,-1.97                       ,48.33          ,10.95                    ,-22.44                   ,17.34                          ,-18.83                ,-18700                      ,-108.99                        ,-10.25         ,-0.67          ,- -                         ,-45.05                         ,-129.58             ,-18.83               ,21.76          ,-10.79               ,6.06                    ,0.08377694535569624
 6 ,2016 ,8.07                     ,-2.36           ,10.28        ,7.34                       ,- -                    ,10.76                   ,-366.14                     ,16.91         ,23.02                       ,0.38                      ,22.56             ,0.32                        ,22.63               ,9.5    ,1.33              ,10.76  ,10.76  ,2.04             ,2.49                 ,13.84             ,1.26               ,32.53              ,-1.44                ,10.58                          ,10.4                    ,1.84                    ,- -         ,5.4             ,5.61                 ,-42.07                         ,-13.52                    ,- -                          ,-0.85           ,-0.44                   ,2.97         ,-8.71               ,5.6     ,10.77                ,5.76                      ,-0.46   ,1.27                 ,0.88                         ,4.72              ,0.59                 ,- -          ,-13.18            ,-82.55       ,-1.03                           ,-1.03        ,2.97                       ,0.39               ,5        ,6.09               ,-3.34                        ,-0.14         ,7.08                  ,6.72                ,23.02      ,-1.44                       ,-120.57        ,8.88                     ,-97.87                   ,13.24                          ,-19.61                ,-2.02                       ,200                            ,33.04          ,-82.52         ,- -                         ,32.07                          ,-46.09              ,-19.61               ,15.92          ,15.38                ,-7.95                   ,0.24395482504950472
 7 ,2017 ,1.38                     ,3.35            ,1.01         ,-14.41                     ,- -                    ,4.96                    ,152.41                      ,10.43         ,164.87                      ,0.36                      ,163.92            ,0.37                        ,163.89              ,3.81   ,2.4               ,4.96   ,4.96   ,-0.36            ,3.54                 ,161.27            ,-3.28              ,11.14              ,-7.46                ,2.14                           ,1.87                    ,-1.29                   ,- -         ,18.13           ,17.17                ,60.99                          ,-6                        ,- -                          ,-1.18           ,-1.54                   ,9.26         ,19.47               ,17.69   ,5.78                 ,17.27                     ,0.09    ,-30.29               ,-23.57                       ,8.87              ,0.39                 ,- -          ,78.14             ,-201.42      ,10.18                           ,10.18        ,9.26                       ,0.29               ,17.44    ,6.58               ,-40.8                        ,-0.08         ,-3.37                 ,4.81                ,164.87     ,-7.46                       ,5921.95        ,-12.39                   ,406.06                   ,7.25                           ,-10.78                ,80.45                       ,235.01                         ,11.54          ,- -            ,- -                         ,24.57                          ,-80.11              ,-10.78               ,8.27           ,19.12                ,-59.51                  ,0.12925188634888762
 8 ,2018 ,18.24                    ,14.55           ,18.94        ,-16.03                     ,- -                    ,12.79                   ,-20.58                      ,9.96          ,-51.67                      ,1.07                      ,-52.22            ,1.03                        ,-52.2               ,13.32  ,-4.16             ,12.79  ,12.79  ,0.6              ,-4.61                ,-59.16            ,-27.1              ,6.7                ,19.28                ,-27.4                          ,-27.79                  ,53.82                   ,- -         ,-10.48          ,-10.7                ,12.82                          ,12.26                     ,- -                          ,23.11           ,23.21                   ,2.22         ,270.61              ,-98.7   ,2686.68              ,-9.63                     ,71.37   ,17.13                ,32.85                        ,-3.5              ,17.64                ,5.88         ,7.96              ,-62.94       ,15.65                           ,15.86        ,2.22                       ,5.18               ,-93.2    ,-94.13             ,77.81                        ,-1.18         ,-107.22               ,62.19               ,-51.67     ,19.28                       ,-107.4         ,66.38                    ,-397.6                   ,32.62                          ,42.49                 ,-99.32                      ,-1150.36                       ,7.85           ,1109.15        ,- -                         ,-45.6                          ,-1610.86            ,42.49                ,32.16          ,-3.15                ,174.64                  ,0.3838248839531483
 9 ,2019 ,12.96                    ,33.7            ,9.13         ,4.82                       ,- -                    ,-0.76                   ,-40.19                      ,-3.18         ,7.75                        ,4.33                      ,3.39              ,4.22                        ,3.5                 ,7.17   ,-5.13             ,-0.76  ,-0.76  ,-3.39            ,-12.15               ,-4.51             ,18.92              ,-24.39             ,90.31                ,12.93                          ,12.87                   ,-11.12                  ,- -         ,-6.13           ,-5.54                ,3.55                           ,21.24                     ,- -                          ,0.19            ,0.16                    ,-2.92        ,-46.64              ,- -     ,-5.23                ,-6.66                     ,-2.18   ,5.92                 ,2.89                         ,-4.76             ,0.28                 ,- -          ,3.16              ,-35.85       ,0.81                            ,0.75         ,-2.92                      ,0.18               ,-27.58   ,-28.12             ,-4.57                        ,1.21          ,-330.23               ,-5.01               ,7.75       ,90.31                       ,-33.8          ,-24.25                   ,-169.62                  ,9.51                           ,110.45                ,88.89                       ,-91.92                         ,-21.12         ,- -            ,- -                         ,116.74                         ,-133.93             ,110.45               ,4.44           ,-2.61                ,1.52                    ,-0.19211944828897032
10 ,2020 ,0.32                     ,-4.7            ,1.46         ,9.88                       ,- -                    ,1.92                    ,-16.8                       ,1.21          ,-0.44                       ,0.17                      ,-0.7              ,0.08                        ,-0.61               ,1.33   ,1.01              ,1.92   ,1.92   ,1.13             ,1.59                 ,-0.85             ,0.09               ,24.21              ,-1.88                ,6.09                           ,5.27                    ,-6.2                    ,- -         ,132.6           ,125.65               ,18.08                          ,6.47                      ,- -                          ,-0.59           ,-0.76                   ,65.74        ,11.95               ,- -     ,129.14               ,128.95                    ,-8      ,-1.82                ,-4.02                        ,100.4             ,0.34                 ,- -          ,-0.26             ,3867.65      ,0.73                            ,0.73         ,65.74                      ,0.18               ,-17.39   ,-17.99             ,-56.66                       ,-1.44         ,150.86                ,0.23                ,-0.44      ,-1.88                       ,-27.64         ,31.33                    ,-271.1                   ,1.6                            ,-19.58                ,-64.71                      ,15.01                          ,24.42          ,- -            ,- -                         ,5.02                           ,-54.35              ,-19.58               ,3.75           ,-10.13               ,2.15                    ,-0.22602775779325146
11 ,2021 ,-3.97                    ,-2.28           ,-4.33        ,-20.7                      ,- -                    ,0.3                     ,759.98                      ,23.93         ,25.19                       ,0.16                      ,24.13             ,0.11                        ,24.19               ,-2.3   ,1.74              ,0.3    ,0.3    ,-0.38            ,4.44                 ,30.41             ,20.59              ,3.59               ,-17.01               ,70.11                          ,73.58                   ,-5.81                   ,- -         ,81.86           ,81.18                ,39.84                          ,-12.76                    ,- -                          ,-0.57           ,-1.01                   ,57.85        ,-29.58              ,30.51   ,81.1                 ,81.86                     ,-21.72  ,-5.69                ,-11.15                       ,72.3              ,4.74                 ,- -          ,3.12              ,-60.34       ,4.1                             ,3.98         ,57.85                      ,0.14               ,-66.3    ,-67.59             ,-67.21                       ,-0.38         ,18.9                  ,-20.37              ,25.19      ,-17.01                      ,-635.16        ,-21.67                   ,-373.31                  ,-11.53                         ,-35.59                ,33.33                       ,-133.28                        ,3.76           ,- -            ,- -                         ,-2943.9                        ,88263.25            ,-35.59               ,-9.65          ,47.06                ,-29.36                  ,0.02576995850543251
12 ,2022 ,7.03                     ,-10.02          ,10.74        ,-9.43                      ,- -                    ,14.01                   ,-34.87                      ,3.46          ,2.05                        ,0.1                       ,1.22              ,0.07                        ,1.25                ,11.48  ,4.16              ,14.01  ,14.01  ,3.46             ,6.53                 ,-4.63             ,7.65               ,20.16              ,-5.92                ,-4.54                          ,-4.05                   ,11.21                   ,- -         ,-14.27          ,-14.02               ,29.11                          ,-9.86                     ,- -                          ,0.66            ,0.23                    ,-11.49       ,148.77              ,-97.86  ,-13.82               ,-14.16                    ,26.96   ,-1.59                ,6.98                         ,-13.04            ,0.32                 ,- -          ,-7.86             ,-349.16      ,-1.9                            ,-1.9         ,-11.49                     ,0.09               ,17.72    ,20                 ,21.98                        ,0.16          ,-186.48               ,-0.57               ,2.05       ,-5.92                       ,-121.31        ,12.1                     ,-41.16                   ,27.21                          ,-29.48                ,18.75                       ,-938.7                         ,20.29          ,-52.86         ,- -                         ,-136.31                        ,-131.53             ,-29.48               ,30.38          ,-40.61               ,24.63                   ,-0.03445458600760343
13 ,2023 ,11.15                    ,10.03           ,11.34        ,5.09                       ,- -                    ,13.92                   ,51.33                       ,19            ,19.89                       ,0.09                      ,19.88             ,0.09                        ,19.87               ,12.13  ,0.88              ,13.92  ,13.92  ,0.18             ,2.49                 ,7.87              ,7.87               ,22.75              ,-2.76                ,7.37                           ,7.05                    ,10.84                   ,- -         ,-32.74          ,-31.77               ,-159.37                        ,194.75                    ,- -                          ,-3.86           ,-0.8                    ,-25.53       ,-25.37              ,- -     ,-32.15               ,-32.15                    ,0.09    ,-0.99                ,-0.61                        ,-30.09            ,0.33                 ,- -          ,-6.14             ,-58.29       ,-0.52                           ,-0.52        ,-25.53                     ,0.08               ,-28.53   ,-28.15             ,42.36                        ,0.56          ,69.65                 ,3.03                ,19.89      ,-2.76                       ,-130.53        ,-1.66                    ,- -                      ,13.02                          ,-14.83                ,-5.26                       ,-104.27                        ,22.86          ,- -            ,- -                         ,90.45                          ,96.64               ,-14.83               ,13.86          ,11.97                ,-5.73                   ,0.0708882862618303
