   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt   ,Other ST Liabilities ,Total Current Liabilities ,LT Debt  ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,20.91                    ,          18.13 ,29.29        ,10.26                      ,- -                    ,48.2                    ,-2567.88                    ,41.54         ,41.1                        ,-1.67                     ,43.51             ,-1.14                       ,42.73               ,39.92  ,15.72             ,48.2   ,48.2   ,6.93             ,22.57                ,16.7              ,1.52               ,- -                ,               12.42 ,29.69                          ,2.4                     ,512.77                  ,26.43       ,16.12           ,36.57                ,                          6.36 ,                    11.34 ,- -                          ,39.3            ,7.73                    ,16.65        ,-42.05              ,26.04     ,- -                  ,                    20.46 ,-3.2     ,20.98                ,20.39                        ,            20.42 ,               10.08 ,1.49         ,            64.49 ,1989.66      ,15.27                           ,15.27        ,16.65                      ,-1.3               ,2.4      ,-11.16             ,-1.09                        ,13.37         ,0.72                  ,              19.1  ,41.1       ,                      12.42 ,24.14          ,42.62                    ,-66.78                   ,10.94                          ,-3.4                  ,-249.56                     ,182.53                         ,- -            ,- -            ,50.56                       ,52.6                           ,-96.36              ,-3.4                 ,22.65          ,123.77               ,-21.38                  ,1.2843778844700067
 1 ,2011 ,23.62                    ,          24.79 ,20.4         ,26                         ,- -                    ,20.86                   ,18.12                       ,20.98         ,20.09                       ,-0.05                     ,20.16             ,0.13                        ,19.94               ,18.6   ,-4.06             ,20.86  ,20.86  ,-2.61            ,-2.23                ,-2.85             ,5.88               ,- -                ,                8.73 ,30.5                           ,78.46                   ,-71.26                  ,25.57       ,35.95           ,23.38                ,                         11.09 ,                    14.26 ,- -                          ,14.08           ,29.18                   ,27.08        ,135.55              ,9.92      ,-71.76               ,                    27.95 ,-3.61    ,19.61                ,19.16                        ,            22.64 ,               13.84 ,1.18         ,            47.08 ,-67.49       ,28.78                           ,28.78        ,27.08                      ,0.57               ,78.46    ,38.58              ,1.54                         ,-3.58         ,11.5                  ,              16.75 ,20.09      ,                       8.73 ,-1.71          ,93.55                    ,451.02                   ,42.15                          ,33.5                  ,-21.78                      ,10.71                          ,- -            ,- -            ,-49.84                      ,-74.33                         ,3588.6              ,33.5                 ,47.72          ,12.39                ,18.37                   ,0.5882006715098271
 2 ,2012 ,20.34                    ,          18.48 ,25.65        ,22.74                      ,- -                    ,29.58                   ,-0.28                       ,30.88         ,29.34                       ,0.95                      ,28.12             ,0.03                        ,29.3                ,26.63  ,5.23              ,29.58  ,29.58  ,4.41             ,7.68                 ,7.47              ,-0.2               ,- -                ,               12.27 ,3.64                           ,-19.61                  ,214.84                  ,24.49       ,31.1            ,9.06                 ,                         15.26 ,                    16.89 ,48.84                        ,46.82           ,21.42                   ,17.07        ,17.81               ,7.52      ,25.43                ,                    18.67 ,-4.05    ,5.64                 ,5.48                         ,            10.93 ,               20.67 ,1.45         ,            41.4  ,419.8        ,19.32                           ,19.32        ,17.07                      ,-0.51              ,-19.61   ,-32.63             ,2.04                         ,-8.1          ,4.89                  ,              20.59 ,29.34      ,                      12.27 ,-188.38        ,55.32                    ,-20.29                   ,2.16                           ,30.36                 ,170.94                      ,69.11                          ,- -            ,- -            ,241.83                      ,491.45                         ,-144.77             ,30.36                ,-14.24         ,-22.61               ,-21.01                  ,-0.2533202477632138
 3 ,2013 ,17.7                     ,          18.53 ,15.46        ,11.08                      ,- -                    ,17.38                   ,35.69                       ,16.78         ,17.78                       ,-1.76                     ,19.9              ,-1.58                       ,19.67               ,16.9   ,-0.68             ,17.38  ,17.38  ,-1.9             ,-0.27                ,0.07              ,-3.15              ,- -                ,               14.17 ,22.27                          ,0.2                     ,4.77                    ,17.56       ,30.84           ,21.9                 ,                         11.14 ,                    13.65 ,64.44                        ,2.14            ,19.69                   ,20.41        ,2.2                 ,- -       ,39.46                ,                     6.62 ,- -      ,16.89                ,15.21                        ,            11.41 ,               12.64 ,0.86         ,            34.49 ,58.2         ,23.47                           ,23.47        ,20.41                      ,-0.19              ,0.2      ,-18.84             ,2.65                         ,14.33         ,-19.53                ,              21.52 ,17.78      ,                      14.17 ,-269.93        ,-0.96                    ,-9.71                    ,25.91                          ,1.47                  ,44.13                       ,20.48                          ,- -            ,- -            ,-36.02                      ,-30.09                         ,-100.14             ,1.47                 ,47.52          ,53.65                ,6.9                     ,0.4950856169597857
 4 ,2014 ,27.8                     ,          26.73 ,30.77        ,34.44                      ,- -                    ,32.15                   ,-6.97                       ,33.65         ,36.02                       ,0.26                      ,35.66             ,0.74                        ,35.02               ,29.62  ,1.42              ,32.15  ,32.15  ,2.32             ,3.4                  ,6.43              ,9.14               ,- -                ,               15.01 ,31.11                          ,29.78                   ,85.48                   ,17.54       ,-26.62          ,29                   ,                         14.92 ,                    15.43 ,58.06                        ,-1.75           ,24.19                   ,25.78        ,17.82               ,- -       ,52.68                ,                    23.33 ,- -      ,-0.93                ,-0.93                        ,             9.33 ,               12.94 ,0.57         ,            34.88 ,-126.48      ,30.82                           ,30.82        ,25.78                      ,-0.02              ,29.78    ,-0.79              ,4.12                         ,4.59          ,-28.8                 ,              17.09 ,36.02      ,                      15.01 ,76.56          ,51.5                     ,-7.93                    ,28.99                          ,26.34                 ,16.58                       ,21.14                          ,- -            ,- -            ,-36.4                       ,-33.5                          ,84536.84            ,26.34                ,30.6           ,0.87                 ,-5.17                   ,0.17088282862772775
 5 ,2015 ,9.56                     ,          11.25 ,5.06         ,-8.65                      ,- -                    ,8.22                    ,24.92                       ,7.78          ,6.79                        ,0.17                      ,6.6               ,-0.06                       ,6.85                ,9.51   ,-0.05             ,8.22   ,8.22   ,-4.11            ,-1.22                ,-2.54             ,-1.96              ,- -                ,               18.01 ,-12.51                         ,-40.88                  ,87.88                   ,-1.88       ,14.86           ,-5.22                ,                          9.96 ,                    12.64 ,25.57                        ,8.57            ,14.55                   ,7.82         ,15.83               ,- -       ,6.13                 ,                    13.93 ,- -      ,17.8                 ,17.8                         ,            15.95 ,               12.86 ,1.13         ,            27.61 ,1828.44      ,5.74                            ,5.74         ,7.82                       ,-1.43              ,-40.88   ,-44.09             ,-1.93                        ,-16.81        ,11.21                 ,              11.75 ,6.79       ,                      18.01 ,-85.47         ,-39.95                   ,5.27                     ,0.18                           ,1.91                  ,-22.36                      ,-10.54                         ,- -            ,- -            ,421.49                      ,479.05                         ,-273.36             ,1.91                 ,-0.83          ,-30.02               ,-6.18                   ,-0.291721600845788
 6 ,2016 ,-13.26                   ,           2.38 ,-57.57       ,10.4                       ,- -                    ,-90.47                  ,54.66                       ,-94.97        ,-95.18                      ,-5.88                     ,-94.88            ,-5.47                       ,-94.9               ,-75.98 ,-72.31            ,-90.47 ,-90.47 ,-51.09           ,-89.02               ,-94.44            ,-20.3              ,- -                ,               12.27 ,-37.02                         ,-64.57                  ,-52.76                  ,-0.16       ,10.3            ,-35.88               ,                          7.09 ,                    10.88 ,-79.93                       ,6.91            ,-21.29                  ,-25.65       ,-2.85               ,- -       ,16.42                ,                     0.66 ,- -      ,7.78                 ,7.78                         ,             4.44 ,                5.65 ,- -          ,             1.04 ,-1.34        ,-34.09                          ,-34.09       ,-25.65                     ,-5.79              ,-64.57   ,-46.24             ,-11.59                       ,-36.3         ,-10.03                ,               8.83 ,-95.18     ,                      12.27 ,706.14         ,10.8                     ,66.82                    ,-48.02                         ,0.55                  ,-383.3                      ,-170.41                        ,- -            ,- -            ,81.64                       ,116.41                         ,-7.74               ,0.55                 ,-77.38         ,12.87                ,977.68                  ,-0.3090211602461469
 7 ,2017 ,14.65                    ,           9.22 ,51.79        ,7.29                       ,- -                    ,292.14                  ,-43.75                      ,611.8         ,668.39                      ,-2.64                     ,689.26            ,-4.06                       ,700.91              ,107.15 ,80.68             ,292.14 ,292.14 ,32.39            ,242.03               ,570.2             ,7.46               ,- -                ,               11.6  ,21.84                          ,110.02                  ,9.32                    ,32.23       ,15.51           ,20.51                ,                          2.67 ,                     7.83 ,- -                          ,3.56            ,-5.82                   ,0.97         ,17.04               ,- -       ,7.08                 ,                    14.94 ,- -      ,4.55                 ,4.55                         ,             9.24 ,                5.34 ,0.28         ,             7.94 ,-55.17       ,-2.71                           ,-2.71        ,0.97                       ,-2.73              ,110.02   ,115.88             ,-3.7                         ,4.85          ,-18.61                ,               6.69 ,668.39     ,                      11.6  ,-15.46         ,1.7                      ,-40.42                   ,31.83                          ,-16.25                ,-77.77                      ,-126.49                        ,- -            ,- -            ,-65.91                      ,-65.81                         ,-162.04             ,-16.25               ,161.05         ,-32.79               ,-82.84                  ,-0.42819204055862525
 8 ,2018 ,8.68                     ,           6.28 ,20.47        ,26.68                      ,- -                    ,12.5                    ,214.01                      ,-2.65         ,0.17                        ,-2.34                     ,2.58              ,-2.1                        ,2.32                ,16.46  ,7.16              ,12.5   ,12.5   ,10.85            ,3.52                 ,-7.83             ,2.56               ,- -                ,               23.65 ,32.98                          ,35.43                   ,25.11                   ,8.53        ,6.31            ,29.43                ,                          3.06 ,                     6.28 ,- -                          ,-8.13           ,2.44                    ,10.75        ,44.04               ,- -       ,18.05                ,                    38.93 ,- -      ,4.71                 ,4.71                         ,            20.98 ,                5.29 ,0.28         ,             7.37 ,70.43        ,5.64                            ,5.64         ,10.75                      ,-1.17              ,35.43    ,28.2               ,-4.63                        ,-6.84         ,13.55                 ,               5.97 ,0.17       ,                      23.65 ,129.39         ,5.99                     ,52.95                    ,32.75                          ,32.57                 ,-176.95                     ,347.66                         ,- -            ,- -            ,-43.57                      ,-41.75                         ,-29.56              ,32.57                ,32.9           ,6.66                 ,32.52                   ,0.5563006003249596
 9 ,2019 ,14.83                    ,          12.39 ,25.41        ,20.27                      ,- -                    ,43.35                   ,-69.48                      ,70.72         ,98.33                       ,-0.3                      ,98.92             ,1.19                        ,96                  ,29.02  ,12.36             ,43.35  ,43.35  ,9.22             ,24.84                ,72.72             ,0.99               ,- -                ,                5.35 ,30.14                          ,92.29                   ,73.72                   ,21.07       ,5.44            ,31.59                ,                        187.41 ,                   109.75 ,- -                          ,-4.51           ,177.96                  ,125.32       ,-5.95               ,120976.22 ,87.55                ,                    48.14 ,79001.42 ,-79.53               ,636.25                       ,           315.15 ,                6.66 ,0.83         ,            13.52 ,-14          ,16.77                           ,16.77        ,125.32                     ,0.21               ,92.29    ,64.67              ,-48.34                       ,-11.17        ,-14.47                ,              13.7  ,98.33      ,                       5.35 ,-9.17          ,32.14                    ,-68.78                   ,16.1                           ,16.19                 ,-127.92                     ,-24.67                         ,- -            ,- -            ,18.44                       ,21.14                          ,237.97              ,16.19                ,16.03          ,71.5                 ,-41.46                  ,0.6499162772651905
10 ,2020 ,7.13                     ,          11.24 ,-8.88        ,3.26                       ,- -                    ,-29.68                  ,113.71                      ,-35.9         ,1.6                         ,0.64                      ,0.96              ,0.43                        ,1.17                ,-16.81 ,-22.35            ,-29.68 ,-29.68 ,-14.94           ,-34.36               ,-5.16             ,1.04               ,- -                ,               12.1  ,8.04                           ,26.5                    ,257.77                  ,1.34        ,-3.8            ,32.46                ,                          9.77 ,                    10.95 ,-18.17                       ,59.48           ,13.15                   ,17.21        ,24.38               ,18.26     ,27                   ,                    23.34 ,10.23    ,145.74               ,14                           ,            15.82 ,                5.74 ,1.1          ,            12.14 ,-21.14       ,20.03                           ,20.03        ,17.21                      ,0.89               ,26.5     ,5.39               ,2.57                         ,7.39          ,-56.77                ,               6.02 ,1.6        ,                      12.1  ,77.22          ,-9.6                     ,-574.26                  ,-8.01                          ,11.81                 ,-276.41                     ,48.2                           ,- -            ,- -            ,-71.46                      ,-48.03                         ,-44.6               ,11.81                ,-25.08         ,67.48                ,-9.46                   ,0.49395529191105947
11 ,2021 ,26.11                    ,          18.13 ,63.97        ,30.14                      ,- -                    ,151.44                  ,-22.93                      ,176.66        ,83.54                       ,0.77                      ,82.14             ,0.33                        ,82.93               ,91.4   ,51.78             ,151.44 ,151.44 ,30.02            ,99.39                ,45.55             ,13.63              ,- -                ,                6.76 ,13.11                          ,34.11                   ,-49.99                  ,24.13       ,43.44           ,-2.72                ,                         12.32 ,                    12.09 ,168.07                       ,0.62            ,15.53                   ,11.2         ,2.75                ,6.82      ,14.24                ,                     6.26 ,11.83    ,-4.23                ,10.87                        ,             9.91 ,               11.57 ,1.09         ,            19.93 ,26.6         ,13.72                           ,13.72        ,11.2                       ,0.28               ,34.11    ,17.93              ,2.37                         ,-8.46         ,76.74                 ,              10.98 ,83.54      ,                       6.76 ,-20.85         ,113.48                   ,-228.11                  ,93.13                          ,18.51                 ,69.44                       ,20.64                          ,- -            ,- -            ,757.45                      ,423.22                         ,67.43               ,18.51                ,189.03         ,-23.2                ,5.22                    ,-0.00820953699353888
12 ,2022 ,14.41                    ,          12.54 ,20.8         ,-7.03                      ,- -                    ,43.24                   ,-9.67                       ,45.37         ,37.69                       ,-1                        ,39.08             ,-1.57                       ,39.89               ,36.16  ,19.01             ,43.24  ,43.24  ,5.59             ,25.2                 ,20.35             ,6.46               ,- -                ,               12.63 ,-16.46                         ,-52.91                  ,-20.16                  ,8.66        ,9.72            ,-14.89               ,                          7.49 ,                     8.78 ,41.47                        ,0.5             ,9.11                    ,4.13         ,11.55               ,8.02      ,-10.46               ,                     5.52 ,5.86     ,-21                  ,4.47                         ,             4.68 ,                5.78 ,0.54         ,            22.88 ,47.33        ,3.08                            ,3.08         ,4.13                       ,-1.61              ,-52.91   ,-54.31             ,-0.99                        ,-19.34        ,60.17                 ,               7.47 ,37.69      ,                      12.63 ,-66.89         ,-44.42                   ,-60.17                   ,3.21                           ,8.29                  ,319.69                      ,59                             ,- -            ,- -            ,77.97                       ,69.41                          ,-306.33             ,8.29                 ,0.53           ,-24.81               ,-25.05                  ,-0.011926659906576709
13 ,2023 ,14.33                    ,          10.85 ,25.41        ,12.3                       ,- -                    ,34.85                   ,-57.36                      ,37.15         ,36.66                       ,-1.06                     ,38.13             ,-1.25                       ,38.4                ,30.35  ,14.01             ,34.85  ,34.85  ,9.69             ,17.95                ,19.54             ,3.38               ,- -                ,               11.35 ,44.08                          ,45.99                   ,8.97                    ,10.21       ,35.93           ,37.83                ,                          9.42 ,                    10.62 ,45.47                        ,0.47            ,11.68                   ,16.12        ,13.99               ,5.01      ,14.53                ,                    11.8  ,8.82     ,3.89                 ,8.63                         ,             9.27 ,                6.93 ,0.54         ,            25.45 ,-15.61       ,29.31                           ,29.31        ,16.12                      ,-0.73              ,45.99    ,12.9               ,11.55                        ,23.29         ,5.74                  ,              10.59 ,36.66      ,                      11.35 ,138.91         ,26.51                    ,21.21                    ,34.79                          ,17.02                 ,9.81                        ,13.97                          ,- -            ,- -            ,-28.64                      ,-28.92                         ,-140.53             ,17.02                ,44.87          ,24.31                ,-1.37                   ,0.40596631436397
