   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA ,EBIT  ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt  ,Other ST Liabilities ,Total Current Liabilities ,LT Debt  ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,4.01                     ,-1.38           ,       11.44 ,25.29                      ,- -                    ,6.1                     ,-82.34                      ,5.17          ,8.66                        ,0.75                      ,6.66              ,0.11                        ,7.34                ,5.86   ,1.78              ,6.1   ,6.1   ,7.15             ,2.01                 ,3.32              ,-0.43              ,- -                ,4.57                 ,64.85                          ,64.85                   ,4.66                    ,6.62        ,30.47           ,38.45                ,8.03                           ,                     9.81 ,- -                          ,15.1            ,6.64                    ,16.14        ,-8.28               ,- -      ,               67.89 ,3.51                      ,- -      ,2.32                 ,4.14                         ,3.66              ,9.29                 ,- -          ,22.86             ,20.9         ,17.99                           ,17.99        ,16.14                      ,0.51               ,64.25    ,39.2               ,2.33                         ,33.75         ,642.98                ,4.46                ,9.35       ,4.57                        ,382.93         ,90.75                    ,-118.19                  ,-1.93                          ,-3.89                 ,- -                         ,60.3                           ,- -            ,- -            ,36.22                       ,-107.18                        ,-16.81              ,-3.89                ,-0.69          ,7.41                 ,-8.74                   ,-0.10789268841393662
 1 ,2011 ,12.86                    ,17.53           ,        7.16 ,-1.21                      ,- -                    ,10.97                   ,-432.47                     ,10.18         ,9.73                        ,-10.12                    ,22.08             ,-9.82                       ,21.68               ,10.16  ,-2.39             ,10.97 ,10.97 ,-5.05            ,-1.67                ,-2.77             ,13.22              ,- -                ,5.67                 ,-72.4                          ,-72.4                   ,6.65                    ,61.09       ,-28.02          ,-44.71               ,4.69                           ,                     7.16 ,- -                          ,11.15           ,6.47                    ,-11.75       ,11.01               ,13367.91 ,                1.98 ,55.4                      ,54040.77 ,10.37                ,955.59                       ,273.83            ,-14.11               ,- -          ,-64.95            ,-29.06       ,-48.94                          ,-48.94       ,-11.75                     ,-21.76             ,-212.92  ,-321.15            ,-54.42                       ,-64.42        ,5.72                  ,-0.32               ,9.73       ,5.67                        ,83.35          ,5.86                     ,-491.28                  ,21.83                          ,-7.48                 ,- -                         ,-12.02                         ,- -            ,- -            ,6818.79                     ,-28068.01                      ,-286.93             ,-7.48                ,39.81          ,-4.94                ,11.03                   ,0.28222732116523486
 2 ,2012 ,5.96                     ,3.05            ,        9.85 ,6.4                        ,- -                    ,11.25                   ,1107.93                     ,5.37          ,9.46                        ,-15.32                    ,29.27             ,-14.3                       ,27.72               ,10.39  ,4.18              ,11.25 ,11.25 ,3.67             ,4.99                 ,3.31              ,0.41               ,- -                ,5.41                 ,89.32                          ,89.32                   ,9.54                    ,5.96        ,1.79            ,32.81                ,-2.2                           ,                     2    ,- -                          ,1.42            ,-1.16                   ,6.41         ,-20.9               ,49.24    ,               51.23 ,11.82                     ,13.39    ,0.97                 ,12.11                        ,12.02             ,3.9                  ,- -          ,3.22              ,63.8         ,1.07                            ,1.07         ,6.41                       ,-5.77              ,0.75     ,-0.32              ,-4.61                        ,18.77         ,-79.96                ,5.52                ,9.46       ,5.41                        ,-46.62         ,14.65                    ,-157.94                  ,-5.46                          ,-21.86                ,- -                         ,-43.08                         ,- -            ,-68.75         ,-72.71                      ,-67.56                         ,-134.1              ,-21.86               ,1.2            ,3.71                 ,-13.63                  ,0.09793308346603036
 3 ,2013 ,13.22                    ,21.55           ,        2.76 ,20.47                      ,- -                    ,-4.11                   ,-64.14                      ,-0.43         ,-1.15                       ,-2.5                      ,1.39              ,-1.25                       ,0.1                 ,-1.04  ,-12.6             ,-4.11 ,-4.11 ,-9.24            ,-15.31               ,-12.69            ,-12.9              ,- -                ,17.77                ,-54.59                         ,-54.59                  ,37.03                   ,26.4        ,23.28           ,-4.6                 ,15.39                          ,                    15.27 ,- -                          ,42.71           ,23.45                   ,15.64        ,32.61               ,22.84    ,               29.7  ,28.04                     ,-19.66   ,-1.34                ,-17.97                       ,-3.51             ,13.05                ,8.33         ,61.48             ,23.97        ,35.87                           ,35.87        ,15.64                      ,0.89               ,6.94     ,-21.29             ,21.08                        ,-25.49        ,-452.54               ,29.99               ,-1.15      ,17.77                       ,3.09           ,-10.25                   ,416.8                    ,-13.21                         ,137.57                ,- -                         ,332.59                         ,- -            ,- -            ,-92.55                      ,-42.64                         ,-211.8              ,137.57               ,-60.5          ,16.42                ,-12.2                   ,-0.053639562652602724
 4 ,2014 ,11.19                    ,11.1            ,       11.32 ,19.29                      ,- -                    ,7.44                    ,455.6                       ,-2.47         ,-0.74                       ,0.63                      ,-1.36             ,1.12                        ,-1.84               ,5.31   ,-5.29             ,7.44  ,7.44  ,0.12             ,-3.38                ,-10.73            ,3.1                ,- -                ,-5.29                ,149.36                         ,149.36                  ,3.72                    ,-32.39      ,17.86           ,34.54                ,2.19                           ,                     2.67 ,- -                          ,14.73           ,6.47                    ,12.91        ,13.37               ,-13.71   ,               11.14 ,2.4                       ,-24.69   ,-3.55                ,-22.34                       ,-12.02            ,9.7                  ,- -          ,40.43             ,-57.46       ,31.62                           ,31.62        ,12.91                      ,0.52               ,-55.64   ,-66.3              ,27.48                        ,31.38         ,-7.9                  ,7.85                ,-0.74      ,-5.29                       ,341.63         ,13                       ,-83.64                   ,31.74                          ,-37.43                ,- -                         ,-55.72                         ,- -            ,- -            ,-96.19                      ,16.59                          ,-225.58             ,-37.43               ,162.21         ,0.18                 ,32.73                   ,-0.11827195425904213
 5 ,2015 ,-1.5                     ,-4.64           ,        3.16 ,-15.53                     ,- -                    ,13.28                   ,-63.73                      ,22.97         ,23                          ,0.18                      ,22.78             ,0.15                        ,22.82               ,9.93   ,11.6              ,13.28 ,13.28 ,4.73             ,15                   ,24.87             ,-3.53              ,- -                ,-9                   ,187.4                          ,187.4                   ,11.3                    ,18.65       ,2.29            ,78.17                ,1.16                           ,                     3.54 ,- -                          ,-9.56           ,-2.78                   ,19.37        ,-9.75               ,-32.64   ,                9.02 ,-12.75                    ,164.68   ,-15.55               ,139.78                       ,65.74             ,0.81                 ,-7.69        ,1.04              ,242.94       ,-3.89                           ,-3.89        ,19.37                      ,-4.75              ,30.69    ,35.98              ,-22.88                       ,104.22        ,-39.14                ,2.11                ,23         ,-9                          ,-52.12         ,-17.85                   ,187.89                   ,0.95                           ,-2.89                 ,- -                         ,-11.06                         ,- -            ,459.15         ,40718.88                    ,-256.67                        ,224.04              ,-2.89                ,2.67           ,7.01                 ,-17.93                  ,0.04892115130693653
 6 ,2016 ,10.68                    ,9.23            ,       12.66 ,-0.62                      ,- -                    ,18.02                   ,-14                         ,19.21         ,23.01                       ,-9.13                     ,35.37             ,-7.06                       ,32.36               ,15.97  ,4.78              ,18.02 ,18.02 ,1.79             ,6.64                 ,11.14             ,-2.51              ,- -                ,1.53                 ,-65.82                         ,-65.82                  ,28.51                   ,20.61       ,-0.25           ,-32.03               ,16.62                          ,                    10.45 ,- -                          ,-8.24           ,8.12                    ,-8.28        ,29.01               ,41.88    ,               24.14 ,30.81                     ,-4.49    ,6.66                 ,-3.94                        ,4.94              ,-3.77                ,83.33        ,-21.46            ,58.73        ,-19.7                           ,-19.7        ,-8.28                      ,-8.35              ,157.1    ,220.18             ,-18.44                       ,-48.04        ,12.88                 ,13.52               ,23.01      ,1.53                        ,58.54          ,14.93                    ,-25.53                   ,25.43                          ,119.72                ,-129.15                     ,111.04                         ,- -            ,-52.58         ,89.67                       ,-472.62                        ,-195.17             ,119.72               ,-14.71         ,-11.41               ,1.97                    ,0.36242410361492783
 7 ,2017 ,14.15                    ,12.72           ,       16.06 ,9.59                       ,- -                    ,18.25                   ,282.5                       ,11.17         ,45.83                       ,-0.07                     ,45.92             ,-2.98                       ,50.29               ,17.98  ,3.35              ,18.25 ,18.25 ,1.67             ,3.59                 ,27.74             ,3.88               ,- -                ,15.71                ,34.81                          ,34.81                   ,11.66                   ,-2.17       ,1.43            ,17.62                ,15.58                          ,                    13.29 ,- -                          ,35.2            ,21.27                   ,20.16        ,7.24                ,7.88     ,               10.67 ,8.38                      ,-2.38    ,-4.26                ,-2.49                        ,0.98              ,15.52                ,4.55         ,51.75             ,-7.8         ,41.79                           ,41.85        ,20.16                      ,4.65               ,-12.73   ,-38.48             ,19.47                        ,8.52          ,-37.15                ,9.89                ,45.83      ,15.71                       ,113.65         ,-0.12                    ,28.94                    ,47.99                          ,-1                    ,- -                         ,94.24                          ,- -            ,- -            ,- -                         ,-76.15                         ,-117.06             ,-1                   ,101.71         ,-6.22                ,1.49                    ,0.3647246813722631
 8 ,2018 ,24.7                     ,27.87           ,       20.62 ,16.86                      ,- -                    ,21.81                   ,-43.39                      ,27.81         ,6.02                        ,1.36                      ,4.58              ,2.05                        ,3.87                ,23.49  ,-0.97             ,21.81 ,21.81 ,-3.27            ,-2.32                ,-15               ,10.16              ,- -                ,37.6                 ,30.66                          ,30.66                   ,15.29                   ,64.66       ,4.55            ,20.75                ,23.24                          ,                    18.44 ,- -                          ,-3.55           ,14.57                   ,16.4         ,29.18               ,-98.6    ,               19.87 ,-8.24                     ,-27.62   ,63.93                ,-22.76                       ,-17.8             ,16.21                ,- -          ,55.92             ,7.2          ,43.99                           ,43.92        ,16.4                       ,1.48               ,-70.36   ,-79.4              ,42.01                        ,31.59         ,89.36                 ,13.21               ,6.02       ,37.6                        ,-24.4          ,11.43                    ,-60.54                   ,8.74                           ,67.22                 ,- -                         ,-14.09                         ,- -            ,- -            ,- -                         ,70.17                          ,30.96               ,67.22                ,-22.73         ,45.17                ,2.59                    ,0.1686472060103038
 9 ,2019 ,13.08                    ,9.61            ,       17.84 ,2.81                       ,- -                    ,22.37                   ,-49.82                      ,25.32         ,41.55                       ,-0.56                     ,42.4              ,-0.59                       ,42.44               ,20.66  ,6.7               ,22.37 ,22.37 ,4.2              ,8.22                 ,25.21             ,-7                 ,- -                ,7.96                 ,-32.13                         ,-32.13                  ,5.42                    ,25.14       ,82.76           ,-3.1                 ,22.72                          ,                    18.86 ,- -                          ,-0.56           ,16.38                   ,10.4         ,-7.2                ,-1.13    ,               16.46 ,1.71                      ,0.34     ,72.23                ,8.43                         ,5.87              ,8.67                 ,- -          ,15.16             ,22.79        ,12.48                           ,12.48        ,10.4                       ,-1.76              ,71.41    ,52.39              ,4.05                         ,-4.73         ,99.55                 ,21.59               ,41.55      ,7.96                        ,-5.84          ,0.96                     ,800.79                   ,20.85                          ,29.86                 ,- -                         ,23.5                           ,- -            ,- -            ,-17.58                      ,103.42                         ,-223.81             ,29.86                ,10.36          ,10.87                ,-14.65                  ,0.6145262204101769
10 ,2020 ,8.01                     ,4.74            ,       12.18 ,5.41                       ,- -                    ,13.9                    ,32.42                       ,13.6          ,18.29                       ,1.18                      ,16.91             ,-0.75                       ,19.18               ,14.78  ,6.27              ,13.9  ,13.9  ,3.86             ,5.45                 ,9.51              ,4.13               ,- -                ,22.18                ,156.4                          ,156.4                   ,-2.55                   ,-4.11       ,-4.41           ,40.25                ,44.3                           ,                    36.6  ,- -                          ,-0.32           ,33.92                   ,35.63        ,19.79               ,2147.1   ,               14.86 ,26.25                     ,23.23    ,33.86                ,25.14                        ,25.55             ,17.49                ,4.35         ,44.8              ,-8.63        ,39.99                           ,39.99        ,35.63                      ,2.4                ,-137.61  ,-126.86            ,6.38                         ,11.09         ,14.17                 ,3.73                ,18.29      ,22.18                       ,9.27           ,-0.52                    ,-189.51                  ,41.95                          ,58.33                 ,- -                         ,68.75                          ,- -            ,- -            ,- -                         ,-92.6                          ,-461.92             ,58.33                ,19.49          ,-19.91               ,20                      ,0.23668497863364868
11 ,2021 ,22.08                    ,12.66           ,       33.27 ,7.8                        ,- -                    ,39.25                   ,-4.46                       ,40.08         ,33.8                        ,1.31                      ,32.08             ,0.68                        ,32.89               ,36.85  ,12.1              ,39.25 ,39.25 ,9.17             ,14.07                ,9.61              ,7.88               ,- -                ,18.06                ,119.43                         ,119.43                  ,32.81                   ,123.94      ,22.16           ,76.66                ,17.28                          ,                    17.21 ,- -                          ,2.8             ,14.77                   ,32.03        ,15.88               ,-12.12   ,               27.08 ,18.25                     ,0.52     ,-0.29                ,0.36                         ,6.96              ,13.25                ,- -          ,48.01             ,-16.71       ,41.76                           ,41.76        ,32.03                      ,0.72               ,705.05   ,467.89             ,9.77                         ,49.4          ,8.31                  ,13.16               ,33.8       ,18.06                       ,-42.96         ,75.47                    ,-244.83                  ,7.95                           ,-21.79                ,- -                         ,-22.58                         ,- -            ,- -            ,- -                         ,-249.27                        ,95.79               ,-21.79               ,61.97          ,64.21                ,-19.32                  ,-0.07741465484799548
12 ,2022 ,30.02                    ,40.41           ,       19.59 ,11.88                      ,- -                    ,20.99                   ,133.49                      ,19.53         ,16.41                       ,0.49                      ,15.83             ,0.36                        ,15.99               ,20.17  ,-7.58             ,20.99 ,20.99 ,-8.02            ,-6.95                ,-10.47            ,17.71              ,- -                ,12.61                ,32.05                          ,32.05                   ,25.53                   ,30.74       ,20.44           ,29.36                ,7.7                            ,                     9.46 ,- -                          ,13.74           ,8.63                    ,16.37        ,3.78                ,-3.02    ,                6.87 ,4.72                      ,-80.29   ,24.4                 ,-60.39                       ,-33.85            ,10.07                ,300          ,37.94             ,67.92        ,31.07                           ,31.07        ,16.37                      ,0.43               ,112.45   ,62.09              ,14.29                        ,23.53         ,-35.67                ,10.47               ,16.41      ,12.61                       ,170.68         ,-4.78                    ,30.96                    ,18.75                          ,-27.12                ,- -                         ,-4.97                          ,- -            ,- -            ,- -                         ,-1035.18                       ,-37.9               ,-27.12               ,58.98          ,-17.42               ,2.01                    ,-0.0023795191467267385
13 ,2023 ,10.53                    ,12.55           ,        8.14 ,8.3                        ,- -                    ,8.11                    ,-299.04                     ,15.91         ,13.54                       ,0.41                      ,13.08             ,0.21                        ,13.3                ,8.76   ,-1.6              ,8.11  ,8.11  ,-2.16            ,-2.18                ,2.73              ,2.94               ,- -                ,15.21                ,70.78                          ,-30.84                  ,12.75                   ,-32.01      ,14.55           ,48.13                ,13.47                          ,                    14.12 ,- -                          ,3.66            ,11.87                   ,26.92        ,11.26               ,-1.5     ,               13.91 ,11.77                     ,1.34     ,9.67                 ,6.31                         ,9.83              ,11.98                ,- -          ,31.17             ,-16.74       ,29.44                           ,29.44        ,26.92                      ,0.54               ,-31.52   ,-47.1              ,2.48                         ,32.54         ,-17                   ,7.37                ,13.54      ,15.21                       ,-25.01         ,1.82                     ,-29.65                   ,15.94                          ,53.1                  ,-371231.4                   ,327.77                         ,- -            ,-86.58         ,- -                         ,-117.41                        ,-231.15             ,53.1                 ,0.99           ,14.12                ,2.11                    ,0.3671546895493414
