   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA   ,EBIT    ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt  ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,19.61                    ,16.94           ,37.84        ,4.91                       ,11.26                  ,130.99                  ,-64.32                      ,497.44        ,310.07                      ,7.93                      ,443.24            ,8.53                        ,440.23              ,45.55  ,21.69             ,130.99  ,130.99  ,15.24            ,93.12                ,198.04            ,26.11              ,-8.78              ,4.78                 ,147.33                         ,147.33                  ,-1.64                   ,3.51        ,46.79           ,23.48                ,-2.61                          ,-3.58                     ,- -                          ,-2.44           ,-2.19                   ,5.41         ,7.78                ,0.03     ,34.62                ,6.04                      ,7.59    ,-1.52                ,3.97                         ,4.57              ,8.26                 ,0.86         ,6.18              ,13.03        ,6.25                            ,7.19         ,5.41                       ,1.48               ,-14.03   ,-19.79             ,-106.47                      ,16.45         ,2.32                  ,-5.15               ,243.34     ,4.78                        ,-28.56         ,- -                      ,156.32                   ,97.69                          ,-93.69                ,6.73                        ,-100.91                        ,-1.55          ,-84.32         ,-81.79                      ,-101.41                        ,-12400              ,-93.69               ,197.87         ,-11.92               ,-44.55                  ,0.1336316693177788
 1 ,2011 ,11.76                    ,11.47           ,13.45        ,6.86                       ,-0.84                  ,29.2                    ,35.35                       ,28.52         ,19.95                       ,2.05                      ,19.48             ,1.26                        ,20.41               ,13.67  ,1.71              ,29.2    ,29.2    ,1.52             ,15.61                ,6.21              ,7                  ,21.57              ,-2.67                ,-22.63                         ,-22.66                  ,6.44                    ,6.91        ,-19.48          ,-2.93                ,-2.09                          ,1.1                       ,-1.37                        ,3.65            ,0.76                    ,-0.52        ,-3.35               ,2.11     ,22.86                ,-1.89                     ,-11.14  ,12.41                ,-2.27                        ,-2.16             ,7.8                  ,1.02         ,7.62              ,36.3         ,2.02                            ,2.87         ,-0.52                      ,1.49               ,-3.76    ,-6.45              ,794.07                       ,-1.07         ,-19.31                ,4.44                ,19.95      ,-2.67                       ,-30.27         ,- -                      ,402.24                   ,-5.44                          ,217.78                ,-30.63                      ,-1577.04                       ,24.06          ,12.72          ,14.13                       ,1788.76                        ,-136.39             ,217.78               ,-7.91          ,-11.92               ,-20.33                  ,-0.1321357322924872
 2 ,2012 ,-5.33                    ,-6.34           ,0.42         ,2.62                       ,3.77                   ,-1.96                   ,436.94                      ,-53.76        ,-60.49                      ,1.8                       ,-65.57            ,1.57                        ,-65.49              ,-3.82  ,1.6               ,-1.96   ,-1.96   ,6.08             ,3.56                 ,-54.46            ,-9.36              ,60.07              ,-6.42                ,-20.71                         ,-20.68                  ,0.55                    ,11.86       ,56.66           ,1.12                 ,1.28                           ,4.12                      ,13.07                        ,-3.87           ,0.26                    ,0.55         ,1.13                ,-67.54   ,-26.36               ,-15.7                     ,8.79    ,16.71                ,12.22                        ,3.93              ,11.82                ,1.59         ,-3.1              ,25.35        ,-6.3                            ,-6.11        ,0.55                       ,1.58               ,3.18     ,9.89               ,-68.49                       ,19.96         ,15.56                 ,4.44                ,-60.49     ,-6.42                       ,-172.46        ,- -                      ,-81.52                   ,5.05                           ,1727.97               ,-42.86                      ,34.75                          ,62.96          ,-7.64          ,-6.35                       ,-24.75                         ,-22.68              ,1727.97              ,-60.89         ,-33.09               ,143.7                   ,0.03375538077461848
 3 ,2013 ,0.52                     ,-0.41           ,5.47         ,5.7                        ,2.28                   ,7.78                    ,-211.74                     ,308.65        ,337.82                      ,1.41                      ,420.8             ,9.69                        ,381.49              ,4.36   ,3.83              ,7.78    ,7.78    ,4.93             ,7.22                 ,302.91            ,2.41               ,-28.86             ,-0.63                ,37.56                          ,37.56                   ,-0.33                   ,-2.04       ,-10.24          ,5.46                 ,-0.38                          ,1.38                      ,5.32                         ,-7.77           ,-3.04                   ,-0.15        ,3.56                ,6.74     ,40                   ,4.16                      ,-15.56  ,-21.68               ,-18.32                       ,-12.91            ,11.02                ,1.53         ,15.74             ,-35.78       ,28.84                           ,27.7         ,-0.15                      ,0.16               ,-27.89   ,-43.53             ,1526.28                      ,1.25          ,4.81                  ,-1.85               ,337.82     ,-0.63                       ,-332.02        ,- -                      ,-800                     ,91.98                          ,-11.94                ,302.27                      ,-45.33                         ,-27.85         ,-71.35         ,-73.22                      ,87                             ,-242.12             ,-11.94               ,277.89         ,2.33                 ,-52.6                   ,0.12634791225465136
 4 ,2014 ,1.9                      ,-0.27           ,12.83        ,2.71                       ,-5.72                  ,29.62                   ,-109.76                     ,-22.62        ,-20.29                      ,-1.29                     ,-21.82            ,-8.01                       ,-16.1               ,19.12  ,16.89             ,29.62   ,29.62   ,10.72            ,27.2                 ,-22.68            ,1.9                ,38.36              ,2.46                 ,-4.81                          ,-4.81                   ,-2.85                   ,-2.43       ,3.77            ,-2.89                ,3.42                           ,0.21                      ,-5.71                        ,-1.43           ,-0.21                   ,-1.17        ,-1.45               ,-18.16   ,-21.05               ,-3.26                     ,11.42   ,17.4                 ,14                           ,9.03              ,13.91                ,1.74         ,7.65              ,66.09        ,-16.64                          ,-16.37       ,-1.17                      ,-3.95              ,16.64    ,39.46              ,-56.55                       ,0.38          ,-1.96                 ,- -                 ,-20.29     ,2.46                        ,-84.68         ,- -                      ,-93.93                   ,-16.89                         ,55.17                 ,-29.94                      ,111.37                         ,36.58          ,155.27         ,-4207.59                    ,-24.27                         ,-111.46             ,55.17                ,-46.93         ,-4.56                ,5.48                    ,-0.05469537078076492
 5 ,2015 ,-16.14                   ,-20.48          ,3.08         ,-5.09                      ,-2.98                  ,10.05                   ,-1651                       ,88.6          ,102.74                      ,-3.48                     ,121.74            ,4.58                        ,104.64              ,3.97   ,23.98             ,10.05   ,10.05   ,22.93            ,31.23                ,142.95            ,-10.21             ,15.56              ,-8.23                ,51.7                           ,51.7                    ,-16.28                  ,-15.18      ,-42.64          ,-1.29                ,-1.09                          ,-8.02                     ,3.63                         ,-2.43           ,-0.98                   ,-1.09        ,-4.01               ,6.65     ,- -                  ,-4.02                     ,-13.48  ,-3.9                 ,-9.22                        ,-7.89             ,1.13                 ,- -          ,23.35             ,8.11         ,13.16                           ,12.11        ,-1.09                      ,-3.51              ,-38.42   ,-45.08             ,117.56                       ,2.84          ,11.46                 ,-6.6                ,102.74     ,-8.23                       ,2029.07        ,- -                      ,996.59                   ,16.99                          ,-96.56                ,-588.71                     ,-56.52                         ,11.53          ,-43.5          ,-79.72                      ,-12.59                         ,-1780.11            ,-96.56               ,155.43         ,52.68                ,-42.58                  ,0.17704233100499733
 6 ,2016 ,-1.27                    ,-0.2            ,-4.92        ,0.17                       ,-0.31                  ,-11.01                  ,-125.56                     ,-55.56        ,-43.42                      ,-1.95                     ,-44.77            ,-9.52                       ,-40.14              ,-3.81  ,-2.57             ,-11.01  ,-11.01  ,-3.7             ,-9.86                ,-43.09            ,-12.73             ,11.45              ,13.53                ,-22.97                         ,-22.97                  ,14.43                   ,7.16        ,9.89            ,-1.18                ,31.54                          ,13.06                     ,-2.4                         ,33.16           ,26.95                   ,17.03        ,15.58               ,-8.84    ,- -                  ,13.4                      ,26.15   ,33.25                ,29.5                         ,25.21             ,-8.38                ,- -          ,6.73              ,13.33        ,2.42                            ,3.99         ,17.03                      ,8.43               ,70.93    ,64.36              ,-17.11                       ,-12.85        ,-2.35                 ,13.13               ,-43.42     ,13.53                       ,-49.59         ,- -                      ,-968.08                  ,-138.87                        ,143.9                 ,-125.74                     ,-477.19                        ,9.28           ,-97.69         ,-21.28                      ,28.16                          ,-160.13             ,143.9                ,-143.52        ,-393.59              ,-169.18                 ,0.05557875547285307
 7 ,2017 ,-75.76                   ,-74.63          ,-79.85       ,-45.31                     ,-58.76                 ,-112.28                 ,-12.66                      ,-134.56       ,-94.71                      ,42.57                     ,-79.56            ,42.28                       ,-79.52              ,-59.99 ,65.1              ,-112.28 ,-112.28 ,-16.85           ,-150.66              ,10.74             ,-86.15             ,-3.31              ,38.68                ,117.86                         ,103.39                  ,88.16                   ,130.78      ,127             ,110.88               ,54.33                          ,27.62                     ,17.63                        ,282.55          ,154.73                  ,141.68       ,89.05               ,342.67   ,- -                  ,107.3                     ,46.93   ,77.16                ,61.57                        ,72.6              ,1003                 ,-99.26       ,-3.71             ,-8.65        ,286.08                          ,274.33       ,141.68                     ,92.16              ,39.83    ,-62.65             ,-9.85                        ,1.73          ,823.04                ,75                  ,-70.69     ,38.68                       ,-177.46        ,- -                      ,-11.01                   ,-74.13                         ,-59.67                ,1445.51                     ,181.32                         ,37.86          ,1459.38        ,-7.14                       ,63.28                          ,-472.86             ,-59.67               ,-72.8          ,632.31               ,-3.62                   ,0.08424917856812653
 8 ,2018 ,93.57                    ,60.1            ,244.94       ,87.49                      ,62.86                  ,-424.28                 ,79.81                       ,-139.34       ,73.82                       ,45.65                     ,127.77            ,44.88                       ,128.98              ,144.04 ,26.07             ,-424.28 ,-424.28 ,78.19            ,-267.52              ,71.38             ,93.57              ,-29.38             ,49.11                ,-40.41                         ,-36.39                  ,-79.93                  ,-75.83      ,6751.3          ,153.85               ,-72.64                         ,-80.74                    ,-77.56                       ,-49.54          ,-56.98                  ,-2.24        ,-82.53              ,-99.63   ,66027.62             ,180.59                    ,-58     ,-82.32               ,-70.92                       ,1.9               ,0.87                 ,-65.22       ,3.58              ,38.14        ,-6.02                           ,-5.91        ,-2.24                      ,-2.51              ,-80.17   ,-78.93             ,266.97                       ,-9.53         ,-189.06               ,- -                 ,209.84     ,49.11                       ,-88.04         ,- -                      ,-28.13                   ,-718.43                        ,10.74                 ,-74.49                      ,-117.19                        ,2.86           ,2997.19        ,778.17                      ,-70.74                         ,-94.99              ,10.74                ,-618.85        ,-114.18              ,-286.41                 ,-0.1691657082111322
 9 ,2019 ,-31.68                   ,-34.48          ,-25.81       ,-32.07                     ,-35.61                 ,-8.7                    ,34.77                       ,-121          ,-130.62                     ,-2.7                      ,-86.69            ,-3.3                        ,-86.61              ,-36.07 ,-6.42             ,-8.7    ,-8.7    ,8.59             ,33.64                ,-81.04            ,91.29              ,-52.57             ,-46.01               ,-82.05                         ,-81.98                  ,12.12                   ,5.16        ,-99.69          ,-92.11               ,2.28                           ,7.06                      ,-28.93                       ,-3.16           ,-3.02                   ,-63.08       ,16.9                ,25433.33 ,- -                  ,-88.62                    ,7.87    ,-3.14                ,4.31                         ,-69.78            ,-38.03               ,-12.5        ,-127.76           ,-88.58       ,-56.53                          ,-56.67       ,-63.08                     ,-2.35              ,288.83   ,797.31             ,-168.09                      ,-30.65        ,-123.7                ,-64.29              ,-85        ,-46.01                      ,832.16         ,- -                      ,-25.72                   ,-70.22                         ,34.33                 ,-92.68                      ,-6.05                          ,-53.85         ,-74.09         ,-46.88                      ,502.19                         ,-3648.15            ,34.33                ,-73.27         ,143.17               ,129.95                  ,-0.42888497063749464
10 ,2020 ,-7.11                    ,-5.17           ,-10.72       ,-17.31                     ,-9.29                  ,-7.9                    ,94.06                       ,1682.54       ,1840.32                     ,-1.45                     ,-701.27           ,-1.45                       ,-701.27             ,-4.96  ,2.31              ,-7.9    ,-7.9    ,-3.88            ,-0.84                ,-737.95           ,-4.38              ,-44.45             ,-3.16                ,65.19                          ,65.19                   ,-36.32                  ,-44.59      ,6305.33         ,190.11               ,-32.3                          ,-26.4                     ,-16.9                        ,-29.13          ,-29.41                  ,2.24         ,-23.05              ,-99.97   ,-87.4                ,46.49                     ,14.64   ,-31.44               ,0.83                         ,14.54             ,-1.49                ,- -          ,37.93             ,-103.11      ,-6.06                           ,-5.98        ,2.24                       ,-0.59              ,-17.83   ,-12.6              ,-221.4                       ,98.04         ,-46.66                ,-2.86               ,-587.17    ,-3.16                       ,72.9           ,- -                      ,-129.35                  ,190.63                         ,-61.11                ,- -                         ,-91.27                         ,-45.25         ,106.62         ,-92.2                       ,-128.03                        ,-157.26             ,-61.11               ,227.5          ,-57.37               ,-149.05                 ,-0.029747911961371942
11 ,2021 ,-12.36                   ,-16.17          ,-4.87        ,-7.58                      ,-10.88                 ,5.09                    ,-88.75                      ,-164.29       ,-150.17                     ,-26.21                    ,-397              ,-26.01                      ,-396.18             ,-38.56 ,-29.89            ,5.09    ,5.09    ,8.55             ,19.91                ,-350.05           ,6.42               ,-3.2               ,-64.06               ,-22.48                         ,-22.48                  ,-10.82                  ,-12.83      ,-62.65          ,-50.69               ,-16.22                         ,-11.04                    ,-12.23                       ,-27.22          ,-25.04                  ,-35.54       ,-3.8                ,14900    ,-83.57               ,-59.67                    ,-31.89  ,-22.59               ,-30                          ,-41.39            ,-0.93                ,-28.57       ,100.13            ,-6.82        ,-31.35                          ,-30.77       ,-35.54                     ,-30.29             ,-32.6    ,-2.65              ,-38.65                       ,22.25         ,-24.31                ,-17.65              ,-141.29    ,-64.06                      ,-108.82        ,- -                      ,-119.69                  ,-44.3                          ,3251.43               ,- -                         ,1088.61                        ,-28.57         ,-83.08         ,1058.86                     ,-300.96                        ,-192.93             ,3251.43              ,-101.61        ,-24.27               ,-125.42                 ,-0.11477842021787721
12 ,2022 ,3.59                     ,5.41            ,0.44         ,-8.46                      ,-3.77                  ,7.89                    ,32.02                       ,0.28          ,-12.1                       ,-8.14                     ,-1.22             ,-8.23                       ,-1.12               ,5.74   ,2.08              ,7.89    ,7.89    ,-3.04            ,4.16                 ,-12.41            ,26.11              ,12.67              ,2.07                 ,151.72                         ,85.7                    ,16.63                   ,11.65       ,-81.96          ,-21.21               ,-0.38                          ,2.87                      ,-20.24                       ,-4.49           ,-4.2                    ,-9.52        ,-1.68               ,100      ,-89.85               ,-24.3                     ,-26.88  ,-8.5                 ,-22.74                       ,-23.15            ,-2.33                ,- -          ,-9.15             ,-2029.27     ,0.51                            ,-0.12        ,-9.52                      ,-10.49             ,-49.92   ,-49.86             ,48.06                        ,4.08          ,3.68                  ,-17.86              ,-12.1      ,2.07                        ,-62.14         ,- -                      ,271.74                   ,-74.22                         ,-71.78                ,-2993.33                    ,-471.64                        ,3.49           ,-14.29         ,111.39                      ,17.83                          ,-127.83             ,-71.78               ,13.85          ,189.06               ,-71.59                  ,0.06085742762853008
13 ,2023 ,-7.29                    ,-6.75           ,-8.28        ,-1.53                      ,-5.22                  ,-16.68                  ,100                         ,-65.19        ,-49.76                      ,-9.75                     ,-92.01            ,-9.65                       ,-92.02              ,-10.36 ,-3.31             ,-16.68  ,-16.68  ,-1.06            ,-10.13               ,-92.22            ,-11.15             ,10.63              ,1.06                 ,-51.81                         ,-34.68                  ,-5.88                   ,-7.81       ,-58.53          ,-33.33               ,2.67                           ,5.36                      ,46.11                        ,1.96            ,3.17                    ,-6.78        ,-5.75               ,- -      ,- -                  ,-17.01                    ,-0.42   ,5.55                 ,1.17                         ,-3.56             ,-0.75                ,-20          ,8.59              ,15.04        ,-8.62                           ,-8.48        ,-6.78                      ,-6.11              ,21.01    ,32.23              ,-45.96                       ,-19.66        ,17.49                 ,4.35                ,-49.76     ,1.06                        ,-823.91        ,- -                      ,-81.87                   ,226.19                         ,166.01                ,-200                        ,-98.44                         ,-0.15          ,- -            ,-53.98                      ,-61.01                         ,-150.54             ,166.01               ,-312.16        ,-65.33               ,4425.03                 ,-0.09873488693252752
