  ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,                   35.83 ,          68.07 ,       23.5  ,                     30.02 ,- -                    ,36.42                   ,58.18                       ,16.25         ,15.54                       ,                    10.96 ,24.51             ,                      11.67 ,23.71               ,35.43  ,-0.29             ,42.88  ,36.42  ,-9.08            ,0.43                 ,-14.09            ,-21.02             ,25.14              ,29.05                ,-83.8                          ,-83.8                   ,52.62                   ,- -         ,402.69          ,74.2                 ,44.65                          ,44.54                     ,175.89                       ,11.2            ,40.92                   ,42.31        ,53.45               ,- -     ,- -                  ,53.45                     ,57.3    ,30.12                ,55.36                        ,55.19             ,               60    ,       18.67 ,50.15             ,50.57        ,25.88                           ,25.68        ,42.31                      ,             18.68 ,63.26    ,29.9               ,20.86                        ,13.52         ,-30.73                ,              71.97 ,15.54      ,                      34.51 ,15.5           ,- -                      ,37.62                    ,26.5                           ,221.19                ,- -                         ,234.23                         ,         38.86 ,79.95          ,968.99                      ,460.68                         ,5876.43             ,221.19               ,442.62         ,-54.41               ,8.41                    ,-0.06612474191509432
 1 ,2011 ,                   22.8  ,          28.49 ,       19.84 ,                      7.23 ,- -                    ,25.51                   ,5.21                        ,51.11         ,53.8                        ,                    16.77 ,71.66             ,                      15.3  ,73.85               ,21.84  ,-0.78             ,25.51  ,25.51  ,-2.41            ,2.21                 ,24.4              ,4.8                ,17.72              ,18.35                ,246.71                         ,246.71                  ,28.78                   ,- -         ,29.86           ,38.92                ,14.27                          ,17.05                     ,35.96                        ,1.09            ,13.11                   ,14.43        ,35.23               ,- -     ,- -                  ,35.23                     ,4.75    ,4.65                 ,4.74                         ,7.43              ,               34.98 ,       16.28 ,40.37             ,32.79        ,28.56                           ,25.59        ,14.43                      ,             16.32 ,13.57    ,-9.57              ,19.9                         ,2.73          ,10.31                 ,              17.18 ,53.8       ,                      18.35 ,-12.64         ,18.22                    ,189.32                   ,11.68                          ,-50.75                ,-41.96                      ,-52.19                         ,         37.46 ,-19.67         ,-24.66                      ,-65.19                         ,-147.71             ,-50.75               ,-67.31         ,149.94               ,-26.89                  ,0.3540841865191646
 2 ,2012 ,                   20.36 ,          18.57 ,       21.36 ,                      7.87 ,- -                    ,22.01                   ,7.31                        ,34.93         ,33.26                       ,                    17.59 ,11.55             ,                      16.98 ,12.13               ,13.28  ,-5.88             ,0.17   ,22.01  ,0.83             ,1.37                 ,11.83             ,-11.07             ,10.67              ,26.47                ,38.52                          ,38.52                   ,85.79                   ,- -         ,-82.15          ,-28.94               ,- -                            ,- -                       ,177.92                       ,1674.79         ,49.47                   ,44.61        ,89.42               ,163.07  ,-156.04              ,314.19                    ,20.9    ,-20.88               ,18.4                         ,51.24             ,               42.69 ,       17.98 ,34.26             ,-78.18       ,37.47                           ,35.57        ,44.61                      ,             18.01 ,33       ,-1.9               ,-4.38                        ,-82.84        ,48.7                  ,              35.34 ,33.26      ,                       4.49 ,274.35         ,-5.95                    ,-6.44                    ,35.41                          ,- -                   ,- -                         ,198.02                         ,         30.14 ,95.5           ,93.37                       ,324.76                         ,-45.87              ,- -                  ,-222.65        ,167.99               ,0.6                     ,-0.07277724161787069
 3 ,2013 ,                   15.89 ,          20.98 ,       13.11 ,                      2.48 ,- -                    ,4.04                    ,-57.65                      ,47.12         ,48.32                       ,                    10.56 ,43.09             ,                      10.45 ,43.24               ,14.04  ,-1.59             ,1.19   ,4.04   ,-2.4             ,-10.22               ,29.02             ,6.43               ,7.6                ,24.29                ,0.94                           ,0.94                    ,7.65                    ,- -         ,-8.37           ,3.62                 ,- -                            ,- -                       ,5.81                         ,10.05           ,10.02                   ,9.83         ,3.42                ,0.13    ,17.97                ,3.34                      ,19.2    ,-12.12               ,17.94                        ,13.5              ,                3.54 ,        2.57 ,19.68             ,-187.7       ,4.1                             ,4.23         ,9.83                       ,              2.65 ,16.17    ,11.45              ,-7.98                        ,0.27          ,12.23                 ,               8.89 ,48.32      ,                      25.79 ,-109.97        ,-8.74                    ,-37.01                   ,20.89                          ,- -                   ,178.55                      ,-57.16                         ,         18.96 ,-3.23          ,- -                         ,-79.23                         ,-96.63              ,- -                  ,20.89          ,-33.9                ,-19.14                  ,-0.5309106733388591
 4 ,2014 ,                    9.05 ,           9.0  ,        9.08 ,                     19.82 ,- -                    ,1.2                     ,181.99                      ,-35.15        ,-36.52                      ,                     4.24 ,-53.12            ,                       4.3  ,-53.15              ,8.07   ,-0.91             ,0.06   ,1.2    ,0.03             ,-7.2                 ,-41.63            ,-0.58              ,10.04              ,13.26                ,-27.26                         ,-27.26                  ,-24.97                  ,- -         ,227.1           ,11.12                ,- -                            ,- -                       ,34.36                        ,-2.29           ,-2.02                   ,-1.64        ,-5.78               ,-27.42  ,-37.19               ,-18.58                    ,-2.13   ,-19.98               ,-2.66                        ,-7.07             ,                7.63 ,        5.47 ,39.66             ,-521.35      ,7.42                            ,7.34         ,-1.64                      ,              5.58 ,-5.57    ,-12.03             ,-0.41                        ,36.47         ,-10.48                ,               9.69 ,-36.52     ,                      14.74 ,-1107.4        ,56.32                    ,87.3                     ,-0.08                          ,- -                   ,-285                        ,-39.26                         ,         14.71 ,-40.02         ,- -                         ,-106.72                        ,-3038.71            ,- -                  ,-0.08          ,43.75                ,56.98                   ,0.3118309315678012
 5 ,2015 ,                    9.09 ,           7.97 ,        9.74 ,                     22.52 ,- -                    ,-2.78                   ,-60.45                      ,47.63         ,48.26                       ,                     3.66 ,57.92             ,                       3.91 ,57.54               ,-0.28  ,-8.59             ,-11.14 ,-2.78  ,0.6              ,-10.88               ,35.86             ,-27.56             ,3.84               ,5.94                 ,38.07                          ,38.07                   ,30.51                   ,- -         ,50.08           ,39.87                ,- -                            ,- -                       ,12.01                        ,19.62           ,19.54                   ,20.2         ,1.99                ,84.03   ,26.17                ,35.72                     ,19.75   ,-2.99                ,19.2                         ,23.2              ,               17.24 ,        7.93 ,23.12             ,114.43       ,16.03                           ,15.9         ,20.2                       ,              7.93 ,26.89    ,9.48               ,-41.4                        ,3.06          ,-11.54                ,              50.58 ,48.26      ,                       1.86 ,-63.34         ,-64.7                    ,-98.37                   ,21.85                          ,- -                   ,- -                         ,292.13                         ,          7.64 ,139.51         ,-24.45                      ,-6531.44                       ,-243.6              ,- -                  ,21.85          ,-2.39                ,-17.78                  ,0.20922283368637706
 6 ,2016 ,                   21.49 ,          18.71 ,       23.08 ,                     42.86 ,- -                    ,37.83                   ,13.32                       ,43.56         ,43.19                       ,                     8.47 ,45.3              ,                       8.51 ,45.25               ,23.41  ,1.59              ,25.16  ,37.83  ,1.31             ,13.45                ,18.24             ,16.97              ,1.84               ,22.58                ,-81.55                         ,-81.55                  ,14.96                   ,- -         ,-65.88          ,-34.8                ,- -                            ,- -                       ,0.28                         ,8.17            ,8.09                    ,6.47         ,31.8                ,-79.42  ,18.43                ,-27.52                    ,13.55   ,-19                  ,12.9                         ,2.1               ,               23.82 ,        8.65 ,14.62             ,40.4         ,13.24                           ,13.13        ,6.47                       ,              8.63 ,-0.84    ,-12.35             ,19.7                         ,-10.04        ,-0.65                 ,               3.86 ,43.19      ,                      11.63 ,-83.84         ,174.1                    ,2648.28                  ,14.14                          ,- -                   ,- -                         ,-48.56                         ,         10.46 ,2.43           ,61.22                       ,-79.88                         ,-258.45             ,- -                  ,14.14          ,21.41                ,-20.54                  ,0.2535307677168923
 7 ,2017 ,                   14.74 ,          15.86 ,       14.12 ,                      7.48 ,- -                    ,7.08                    ,263.19                      ,-40.27        ,-40.66                      ,                    16.07 ,-54.85            ,                      16.07 ,-54.85              ,10.87  ,-3.37             ,-8.67  ,7.08   ,-0.54            ,-6.68                ,-49.23            ,7.47               ,1.78               ,20.47                ,-99.52                         ,-99.52                  ,35.51                   ,- -         ,125.82          ,52.11                ,- -                            ,- -                       ,53.64                        ,76.31           ,76.11                   ,75.55        ,21.76               ,176.57  ,30.59                ,45.92                     ,43.59   ,204.6                ,45.9                         ,45.9              ,               95.34 ,       29.2  ,32.84             ,-20.04       ,103.08                          ,116.34       ,75.55                      ,             29.21 ,48.39    ,-31.41             ,20.15                        ,4.24          ,8.6                   ,               6.77 ,-40.66     ,                      14.71 ,4910.17        ,17.71                    ,145.45                   ,12.17                          ,- -                   ,102.17                      ,4.44                           ,         18.14 ,14.45          ,-62.78                      ,-8.73                          ,-64.11              ,- -                  ,12.17          ,20.5                 ,92.57                   ,0.003754755886763217
 8 ,2018 ,                   23.94 ,          22.97 ,       24.49 ,                      2.43 ,- -                    ,6.66                    ,-14.04                      ,29.92         ,33.11                       ,                    18.37 ,17.66             ,                      18.17 ,17.86               ,18.39  ,-4.48             ,-42.03 ,6.66   ,0.44             ,-13.95               ,7.65              ,16.33              ,9.94               ,40.88                ,248331.37                      ,248331.37               ,8.42                    ,- -         ,-94.42          ,1.35                 ,- -                            ,- -                       ,7.11                         ,11.27           ,11.24                   ,11.04        ,17.1                ,199.07  ,-6.11                ,65.76                     ,16.75   ,-19.78               ,15.65                        ,25.16             ,                0.84 ,        0.34 ,28.1              ,6.65         ,-4.74                           ,-2.07        ,11.04                      ,              0.47 ,26.9     ,29.57              ,-43.69                       ,-38.86        ,-3.39                 ,               6.55 ,33.11      ,                      29.46 ,44.56          ,32.35                    ,21.15                    ,35.38                          ,- -                   ,-120.72                     ,123.7                          ,         30.14 ,16.12          ,-100.66                     ,447.09                         ,-942.82             ,- -                  ,35.38          ,-18.66               ,1.46                    ,0.03234907981802437
 9 ,2019 ,                    5.34 ,           8.61 ,        3.53 ,                     28.25 ,- -                    ,5.43                    ,-92.29                      ,78.09         ,75.67                       ,                     1.11 ,99.74             ,                       1.35 ,99.28               ,5.24   ,-0.1              ,52.14  ,5.43   ,-1.72            ,0.08                 ,66.15             ,3.98               ,5.91               ,-1.95                ,-29.11                         ,-29.11                  ,1.96                    ,- -         ,2598.12         ,43.79                ,-88.94                         ,-89.73                    ,635.04                       ,-11.13          ,-3.81                   ,-2.94        ,-10.09              ,-85.79  ,1.01                 ,-47.88                    ,11.93   ,-25.66               ,11.15                        ,-3.68             ,                1.95 ,        1.07 ,15.7              ,-23.97       ,0.21                            ,-2.06        ,-2.94                      ,              1.2  ,-8.58    ,-6.66              ,64.93                        ,175.9         ,-7.43                 ,               1.31 ,75.67      ,                       5.09 ,-66.47         ,28.52                    ,-76.63                   ,9.28                           ,- -                   ,-80.41                      ,-90.94                         ,          7.09 ,12.98          ,-20183.24                   ,-172.39                        ,-131.14             ,- -                  ,9.28           ,3.11                 ,-37.57                  ,-0.12361418371575095
10 ,2020 ,                   21.64 ,          27.17 ,       18.42 ,                     62.6  ,- -                    ,7.33                    ,1304.41                     ,-34.43        ,-39.47                      ,                    24.85 ,-55.59            ,                      25.33 ,-55.76              ,41.87  ,16.64             ,144.81 ,7.33   ,-2.65            ,-11.76               ,-49.46            ,-34.49             ,-0.41              ,17.41                ,20.8                           ,20.8                    ,97.42                   ,- -         ,- -             ,13.81                ,114.66                         ,120.61                    ,-10.8                        ,60.25           ,57.58                   ,56.39        ,86.09               ,127.21  ,75.79                ,90.5                      ,34.58   ,-12.02               ,33.94                        ,41.63             ,               78.16 ,       34.49 ,31.23             ,-253.56      ,79.34                           ,73.61        ,56.39                      ,             34.17 ,31.53    ,-24.24             ,19.62                        ,-40.26        ,6.71                  ,              85.68 ,-39.47     ,                      68.8  ,-110.43        ,113.66                   ,-72.4                    ,12.73                          ,- -                   ,-2796.15                    ,845.24                         ,         24.33 ,20.83          ,250.99                      ,-173.56                        ,-229.18             ,- -                  ,12.73          ,29.75                ,83.38                   ,0.041125431433115534
11 ,2021 ,                   13.43 ,          17.33 ,       11.0  ,                     14.67 ,- -                    ,13.29                   ,-481.11                     ,354.16        ,381.73                      ,                     8.6  ,447.31            ,                       7.88 ,450.95              ,10.29  ,-2.77             ,13.29  ,13.29  ,-2.15            ,-0.13                ,322.8             ,7.74               ,2.47               ,8.8                  ,31.52                          ,31.52                   ,11.38                   ,- -         ,- -             ,14.45                ,13.47                          ,1.33                      ,57.44                        ,-1.93           ,0.54                    ,0.81         ,-18.58              ,-25.14  ,-9.44                ,-18.61                    ,2.25    ,409.17               ,5.96                         ,1.47              ,                2.18 ,        1.29 ,-9.15             ,-228.79      ,1.62                            ,0.19         ,0.81                       ,              1.47 ,0.83     ,0.64               ,12.74                        ,40.62         ,-2.58                 ,               5.28 ,381.74     ,                       8.8  ,8535.92        ,12.75                    ,3580.61                  ,-0.25                          ,- -                   ,- -                         ,-59.15                         ,         11.29 ,-74.7          ,-90.85                      ,-163.12                        ,16.31               ,- -                  ,-0.25          ,38.17                ,-79.2                   ,0.03765098878297324
12 ,2022 ,                    5.96 ,          13.66 ,        0.88 ,                      0.99 ,- -                    ,-10.67                  ,-125.96                     ,-77.37        ,-78.23                      ,                     1.37 ,-80.01            ,                       5.19 ,-80.73              ,0.42   ,-5.23             ,-10.67 ,-10.67 ,-4.8             ,-15.69               ,-79.14            ,-5.9               ,3.76               ,6.14                 ,-0.65                          ,-0.65                   ,44.3                    ,- -         ,- -             ,36.42                ,-3.85                          ,-3.85                     ,10.16                        ,14.5            ,13.55                   ,14.07        ,18.61               ,440.08  ,9.83                 ,81.6                      ,9.31    ,78.97                ,12.35                        ,22.51             ,                5.06 ,        2.23 ,29.36             ,242.65       ,-2.34                           ,5.93         ,14.07                      ,              2.37 ,23.67    ,16.75              ,-18.5                        ,-24.88        ,-21.09                ,              12.61 ,-78.23     ,                       6.14 ,-94.39         ,9.96                     ,-25.66                   ,-2.52                          ,- -                   ,- -                         ,342.62                         ,          5.18 ,52.98          ,439.48                      ,-602.71                        ,-242.08             ,- -                  ,-2.52          ,-38.65               ,340.95                  ,-0.21557021249140096
13 ,2023 ,                   16.74 ,          29.81 ,        7.01 ,                      8.26 ,- -                    ,6.17                    ,-209.14                     ,149.08        ,149.87                      ,                     4.28 ,158.29            ,                       3.74 ,159.64              ,7.04   ,-8.31             ,6.17   ,6.17   ,-8.33            ,-9.05                ,115.1             ,8.71               ,0.52               ,7.41                 ,1046.55                        ,1046.55                 ,31.86                   ,- -         ,108.1           ,204.4                ,4.66                           ,4.66                      ,15.29                        ,-0.03           ,0.88                    ,6.34         ,14.53               ,-15.73  ,-89.45               ,-7.25                     ,7.78    ,30.2                 ,9.34                         ,5.74              ,               10.18 ,        6.96 ,- -               ,909.41       ,8.73                            ,7            ,6.34                       ,              7.03 ,-3.98    ,-10.26             ,16.62                        ,228.19        ,-11.2                 ,               7.39 ,149.87     ,                       7.41 ,820.21         ,-12.9                    ,64.87                    ,-1.48                          ,- -                   ,- -                         ,-76.27                         ,          4.83 ,34             ,137.74                      ,-67.55                         ,-2192.88            ,- -                  ,-1.48          ,41.46                ,-60.77                  ,0.15716483230217415
