   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt  ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt  ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,13.38                    ,17.19           ,12.26        ,10.32                      ,14.15                  ,12.27                   ,78.52                       ,11.75         ,10.06                       ,-5.37                     ,16.31             ,-6.5                        ,17.72               ,12.97  ,-0.36             ,12.27  ,12.27  ,-0.99            ,-0.98                ,-2.92             ,9.18               ,- -                ,24.67                ,26.66                          ,-28.68                  ,16.73                   ,14.46       ,43.22           ,28.33                ,0.18                           ,                     1.27 ,43.22                        ,-216.63         ,2.87                    ,19.53        ,-1.6                ,11468.73 ,-15.93               ,31.7                      ,137.01  ,-23.69               ,127.41                       ,71.32             ,6.2                  ,-10.89       ,-40.67            ,-636.84      ,-7.91                           ,-5.89        ,19.53                      ,-10.86             ,-11035.28 ,-11719.99          ,-24.19                       ,-2.56         ,3.04                  ,               3.84 ,10.06      ,24.67                       ,69.93          ,10.71                    ,-2352.24                 ,-7.99                          ,-73.1                 ,141.84                      ,-12.55                         ,- -            ,640.62         ,390.01                      ,27.32                          ,136.3               ,-73.1                ,-2.74          ,-11.71               ,-16.41                  ,-0.29029505430938873
 1 ,2011 ,5.48                     ,13.61           ,2.98         ,18.92                      ,14.56                  ,-4.35                   ,185.24                      ,-6.71         ,-3.48                       ,-9.48                     ,6.76              ,-9.53                       ,6.82                ,-3.21  ,-8.24             ,-4.35  ,-4.35  ,-2.37            ,-9.32                ,-8.39             ,-6.24              ,- -                ,13.84                ,371.74                         ,988.67                  ,20.3                    ,15.47       ,-98.02          ,63.38                ,10.43                          ,                    11.31 ,-98.02                       ,-769.68         ,15.93                   ,49.26        ,32.05               ,-99.76   ,140.35               ,2.02                      ,158.21  ,423.3                ,163.52                       ,90.75             ,5.48                 ,-6.11        ,50.1              ,88.28        ,14.92                           ,12.18        ,49.26                      ,-6.1               ,-184.81   ,-175.61            ,-31.79                       ,60.14         ,-1.21                 ,              12.5  ,-3.48      ,13.84                       ,-8.82          ,-3.83                    ,-132.38                  ,28.41                          ,113.15                ,-341.49                     ,-285.26                        ,- -            ,57.32          ,-42.88                      ,-231.74                        ,-2131.97            ,113.15               ,26.52          ,-22.58               ,32.88                   ,0.12944677096200063
 2 ,2012 ,15.71                    ,16.33           ,15.5         ,17.64                      ,43.18                  ,5.81                    ,186.81                      ,-1.07         ,-7.73                       ,-2.25                     ,-5.44             ,0.17                        ,-7.73               ,4.8    ,-9.43             ,5.81   ,5.81   ,-0.18            ,-8.55                ,-20.11            ,4.14               ,- -                ,-7.95                ,-81.19                         ,-81.75                  ,-10.24                  ,25.54       ,1029.97         ,-54.31               ,42.08                          ,                    34.51 ,1029.97                      ,322.21          ,279.22                  ,22.75        ,21.87               ,74295.04 ,37.06                ,69.8                      ,-7.25   ,15.58                ,-6.34                        ,12.01             ,15.23                ,0.93         ,108.51            ,-178.38      ,38.15                           ,39.08        ,22.75                      ,0.86               ,-382.03   ,-302.79            ,-222.05                      ,-73.09        ,-3.06                 ,              11.11 ,-7.73      ,-7.95                       ,-49.34         ,8.5                      ,-19.64                   ,-12.21                         ,200.98                ,-116.18                     ,-429.99                        ,- -            ,-49.39         ,-90.75                      ,-68.06                         ,-189.94             ,200.98               ,-20.23         ,88.97                ,-5.03                   ,0.6604700889514075
 3 ,2013 ,15.45                    ,15.66           ,15.38        ,16.32                      ,20.44                  ,12.81                   ,-20.7                       ,16.51         ,18.79                       ,0.92                      ,17.56             ,7.08                        ,10.81               ,13.53  ,-1.66             ,12.81  ,12.81  ,-0.06            ,-2.29                ,2.77              ,-5.37              ,- -                ,23.9                 ,14.46                          ,17.14                   ,19.92                   ,17.81       ,-39.01          ,10.66                ,5.99                           ,                     9.49 ,-39.01                       ,6.17            ,4.02                    ,5.92         ,18.6                ,-94.54   ,778.99               ,48.14                     ,-44.17  ,33.93                ,-40.33                       ,-8.01             ,-4.64                ,101.84       ,64.8              ,172.82       ,22.12                           ,22.97        ,5.92                       ,1                  ,-70.57    ,-76.06             ,-63.46                       ,-25.3         ,13.88                 ,              22    ,18.79      ,23.9                        ,60.19          ,20.73                    ,-417.78                  ,-2.81                          ,-52.14                ,-145.18                     ,-97.85                         ,- -            ,17.63          ,34.13                       ,-551.58                        ,-103.79             ,-52.14               ,4.19           ,141.78               ,-18.08                  ,0.7489160507089969
 4 ,2014 ,122.2                    ,32.52           ,152.92       ,75.53                      ,34.64                  ,237.42                  ,29.52                       ,253.02        ,294.43                      ,-0.46                     ,295.36            ,-2.83                       ,305.02              ,235.1  ,50.81             ,237.42 ,237.42 ,13.83            ,51.86                ,77.12             ,93.63              ,- -                ,204.61               ,375.14                         ,374.58                  ,120.68                  ,-32.58      ,263.99          ,163.83               ,43.55                          ,                    37.52 ,263.99                       ,-3.67           ,7.27                    ,54.08        ,47.46               ,-76.5    ,-74.06               ,-11.19                    ,202.66  ,167.6                ,198.8                        ,75.27             ,-55.59               ,30.38        ,108.54            ,-341.87      ,35.68                           ,34.69        ,54.08                      ,-2.31              ,1.02      ,-25                ,-213.46                      ,197.06        ,-45.23                ,              14.75 ,294.43     ,204.61                      ,-14.56         ,42.87                    ,-7.94                    ,312.82                         ,193.16                ,-501.81                     ,616.71                         ,- -            ,277.56         ,1763.49                     ,18.91                          ,2498.7              ,193.16               ,320.62         ,-69.39               ,4.9                     ,0.1412204248158624
 5 ,2015 ,31.13                    ,5.76            ,35.69        ,14.85                      ,5.61                   ,45.38                   ,30.56                       ,45.79         ,50.15                       ,-3.81                     ,55.57             ,-7.65                       ,62.04               ,42.76  ,8.87              ,45.38  ,45.38  ,3.47             ,10.87                ,14.11             ,14.74              ,- -                ,4.57                 ,44.22                          ,28.16                   ,26.3                    ,41.05       ,625.97          ,91.68                ,35.96                          ,                    32.48 ,625.97                       ,-71.09          ,5.35                    ,49.55        ,67.52               ,-86.67   ,132.39               ,76.06                     ,77.8    ,25.57                ,72.64                        ,73.66             ,-81.4                ,-50          ,41.38             ,-70.76       ,20.15                           ,20.82        ,49.55                      ,-5.14              ,337.19    ,261.85             ,19.4                         ,8.87          ,46.57                 ,              14.29 ,50.15      ,4.57                        ,-114.98        ,6.11                     ,-323.75                  ,58.6                           ,34.11                 ,826.38                      ,584.31                         ,- -            ,2.01           ,92.97                       ,64.07                          ,-63.73              ,34.11                ,59.71          ,-37.51               ,5.99                    ,0.0935871658546561
 6 ,2016 ,-6.89                    ,6.37            ,-8.75        ,-0.82                      ,69.14                  ,-20.55                  ,0.37                        ,-21.06        ,-25.51                      ,-8.54                     ,-18.48            ,-10.72                      ,-16.49              ,-19.32 ,-13.35            ,-20.55 ,-20.55 ,-1.99            ,-14.67               ,-19.92            ,-17.24             ,43.23              ,5.46                 ,-18.57                         ,-35.97                  ,-22.89                  ,-18.82      ,76.58           ,13.12                ,25.88                          ,                    21.19 ,76.58                        ,-223.04         ,3.78                    ,9.91         ,6.57                ,- -      ,-66.69               ,-6.79                     ,24.3    ,24.94                ,24.35                        ,14.94             ,2.25                 ,- -          ,0.85              ,215.91       ,1.9                             ,1.31         ,9.91                       ,-7.88              ,117.07    ,114.27             ,3.42                         ,21.37         ,-18.73                ,              12.5  ,-25.51     ,5.46                        ,-2044.12       ,-0.52                    ,17.52                    ,-18                            ,0.13                  ,-4.19                       ,-3.93                          ,31             ,-41.52         ,11.46                       ,88.33                          ,-261.29             ,0.13                 ,-18.7          ,-23.97               ,9.98                    ,-0.371295230751836
 7 ,2017 ,-14.09                   ,2.58            ,-16.81       ,14.13                      ,-26.76                 ,-19.9                   ,11.01                       ,-20.87        ,-65.57                      ,-2.39                     ,-64.88            ,-2.87                       ,-64.71              ,-17.99 ,-4.54             ,-19.9  ,-19.9  ,-3.17            ,-6.76                ,-60.1             ,-22.68             ,13.97              ,11.05                ,114.46                         ,-7.79                   ,-14.69                  ,-49.53      ,-45.4           ,7.45                 ,15.01                          ,                    16.45 ,-45.4                        ,-397.86         ,56.45                   ,23.35        ,-2.16               ,137250   ,-24.17               ,26.21                     ,16.89   ,258.81               ,34.34                        ,32.35             ,178.02               ,- -          ,4.73              ,-40.65       ,8.23                            ,5.88         ,23.35                      ,-0.15              ,43.26     ,35.31              ,-107.85                      ,-14.87        ,-45.85                ,              11.11 ,-65.57     ,11.05                       ,30.11          ,67.89                    ,275.04                   ,-28.62                         ,-21.12                ,-55.03                      ,34.08                          ,11.24          ,43.78          ,-93.33                      ,-136.3                         ,-83.32              ,-21.12               ,-28.97         ,35.99                ,108.23                  ,-0.16462631783948334
 8 ,2018 ,-15.24                   ,11.03           ,-20.53       ,4.59                       ,34.39                  ,-41.94                  ,-32.61                      ,-42.35        ,17.57                       ,-0.69                     ,18.69             ,-0.83                       ,18.86               ,-37.51 ,-26.28            ,-41.94 ,-41.94 ,-6.23            ,-31.5                ,39.07             ,-22.95             ,9.54               ,11.12                ,17.95                          ,136.43                  ,-13.61                  ,1.62        ,-87.28          ,-13.77               ,21.58                          ,                    21.17 ,-87.28                       ,56.27           ,-3.16                   ,-9.4         ,-13.41              ,0.04     ,21.98                ,-8.85                     ,-20.2   ,-5.3                 ,-17.33                       ,-15.35            ,80.47                ,- -          ,0.06              ,-51.52       ,4.62                            ,5.04         ,-9.4                       ,-1.99              ,-63.85    ,-65.59             ,-347.81                      ,-5.39         ,8                     ,              10    ,17.57      ,11.12                       ,184.88         ,32.45                    ,-118.38                  ,-29.4                          ,56.61                 ,-402.37                     ,-189.33                        ,8.79           ,- -            ,262.64                      ,-463.04                        ,-1441.52            ,56.61                ,-33.89         ,13.88                ,-40.1                   ,-0.036826276440380834
 9 ,2019 ,1.46                     ,-3.67           ,2.89         ,8.01                       ,81.47                  ,-47.72                  ,-317.71                     ,-33.84        ,-1.76                       ,-2.16                     ,0.91              ,-2.37                       ,1.13                ,-40.9  ,-41.75            ,-47.72 ,-47.72 ,1.42             ,-48.47               ,-2.68             ,-5.42              ,10.84              ,-1.75                ,-19.07                         ,-35.17                  ,7.66                    ,153.93      ,4.57            ,-11.68               ,12.38                          ,                    13.99 ,4.57                         ,6.88            ,7.55                    ,-3.22        ,-8.78               ,-9.06    ,7.93                 ,-7.98                     ,-10.09  ,2.33                 ,-7.35                        ,-7.51             ,33.68                ,- -          ,1.91              ,6.25         ,5.32                            ,5.18         ,-3.22                      ,-1.25              ,38.16     ,31.35              ,183.35                       ,-4.02         ,104.7                 ,               7.27 ,-1.76      ,-1.75                       ,29.55          ,-24.73                   ,-15.02                   ,8.86                           ,-10.71                ,-115.1                      ,-154.45                        ,8.45           ,- -            ,-41.02                      ,-38.03                         ,-160.43             ,-10.71               ,11.28          ,-4.77                ,10.25                   ,-0.2099740696006649
10 ,2020 ,9.98                     ,-2.2            ,13.18        ,17.58                      ,-44.66                 ,131.56                  ,-1045.93                    ,-67.66        ,-98.34                      ,-1.02                     ,-97.69            ,-1.1                        ,-97.69              ,100.44 ,82.25             ,131.56 ,131.56 ,2.91             ,110.55               ,-97.92            ,-4.58              ,8.15               ,5.41                 ,-69.58                         ,-48.44                  ,36.57                   ,45.82       ,-66.26          ,-49.77               ,10.33                          ,                    12    ,-66.26                       ,95.14           ,74.5                    ,11           ,7.93                ,10.32    ,142.24               ,16.78                     ,29.65   ,42.39                ,32.76                        ,28.76             ,27.16                ,- -          ,-25.83            ,-170.59      ,-19.19                          ,-19.55       ,11                         ,-0.95              ,96        ,143.64             ,-880.07                      ,-56.99        ,74.87                 ,              15.25 ,-98.34     ,5.41                        ,159.51         ,1.1                      ,105.26                   ,-10.67                         ,-21.21                ,-617.9                      ,86.96                          ,7.05           ,-8.91          ,-13.83                      ,-110.09                        ,-9.99               ,-21.21               ,-9.63          ,-2.12                ,3811.48                 ,-0.22959321256272858
11 ,2021 ,10.6                     ,44.38           ,2.92         ,1.84                       ,6.43                   ,1.69                    ,-78                         ,395.99        ,6867.42                     ,-0.08                     ,4965.01           ,-0.08                       ,4964.99             ,6.47   ,-3.73             ,1.69   ,1.69   ,-6.94            ,-8.05                ,4476.1            ,4.45               ,4.61               ,38.51                ,-11.99                         ,-10.99                  ,-8.16                   ,-9.29       ,160.76          ,-4.81                ,3.1                            ,                     5.71 ,160.76                       ,-1.39           ,0.58                    ,-0.67        ,20.57               ,-45.01   ,-1.72                ,1.87                      ,-12.1   ,-0.44                ,-9.05                        ,-6.57             ,20.12                ,- -          ,13.51             ,-238.33      ,15.75                           ,15.6         ,-0.67                      ,- -                ,-15.93    ,-27.28             ,-6.48                        ,-6.55         ,-17.32                ,               5.88 ,6867.42    ,38.51                       ,-67.9          ,-1.24                    ,-129.85                  ,39.37                          ,-10.92                ,-108.26                     ,-78.58                         ,4.52           ,- -            ,-71.59                      ,-1252.86                       ,-89.01              ,-10.92               ,43.72          ,-4.68                ,-97.25                  ,0.030621794226909138
12 ,2022 ,-0.09                    ,-14.3           ,4.44         ,8.14                       ,-7.2                   ,8.71                    ,183.98                      ,-29.77        ,-26.37                      ,-0.08                     ,-26.17            ,- -                         ,-26.23              ,7.67   ,7.77              ,8.71   ,8.71   ,4.54             ,8.8                  ,-26.17            ,-15.37             ,2.97               ,2.59                 ,-2.07                          ,1.39                    ,6.32                    ,3.15        ,-4.89           ,1.14                 ,6.91                           ,                     9.22 ,-4.89                        ,-11.28          ,-9.36                   ,-7.04        ,-13.19              ,49.93    ,0.91                 ,-3.21                     ,-8.82   ,-23.08               ,-12.91                       ,-10.51            ,19.07                ,- -          ,-3.9              ,-97.59       ,0.81                            ,0.69         ,-7.04                      ,-0.56              ,-7.21     ,-7.84              ,-22.2                        ,4.49          ,7.41                  ,              18.06 ,-26.37     ,2.59                        ,57.56          ,0.31                     ,-460.53                  ,-20.31                         ,25.73                 ,-106.08                     ,-21.24                         ,2.88           ,- -            ,188.33                      ,-27.13                         ,-121.96             ,25.73                ,-22.78         ,42.2                 ,8.03                    ,0.4307241384617664
13 ,2023 ,-0.6                     ,14.87           ,-4.65        ,7.35                       ,14.89                  ,-19.72                  ,-62.19                      ,17.97         ,22.91                       ,-0.56                     ,24.06             ,-0.32                       ,23.76               ,-12.04 ,-11.5             ,-19.72 ,-19.72 ,-4.07            ,-19.23               ,24.12             ,-6.13              ,3.27               ,28.06                ,13.77                          ,12.44                   ,-2.45                   ,-36.63      ,90.68           ,5.63                 ,-2.89                          ,                     1.37 ,-6.59                        ,-4.04           ,-3.97                   ,-1.66        ,-26.11              ,-20.9    ,172.55               ,0.38                      ,1.01    ,-36.83               ,-8.56                        ,-6.16             ,17.11                ,- -          ,3.93              ,1300         ,7.5                             ,7.26         ,-1.66                      ,-0.08              ,-4.62     ,-11.08             ,-28.7                        ,5.23          ,-24.06                ,               5.88 ,22.93      ,28.06                       ,-51.92         ,20.25                    ,30.63                    ,-11.75                         ,-19.64                ,-980                        ,-8.15                          ,2.7            ,-75.81         ,-29.35                      ,-20.78                         ,349.64              ,-19.64               ,-11.06         ,8.03                 ,-28.47                  ,-0.262233038903952
