   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA   ,EBITDA Margin (%) ,EBITA   ,EBIT    ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,14.34                    ,21.44           ,-9.26        ,1.69                       ,- -                    ,74.31                   ,-69.06                      ,117.54        ,164.93                      ,0.65                      ,185.31            ,0.71                        ,185.15              ,38.01    ,20.69             ,74.31   ,74.31   ,-20.64           ,52.44                ,151.14            ,10.2               ,-0.64              ,5.32                 ,18.06                          ,18.06                   ,20.23                   ,0.97        ,-20.67          ,9.93                 ,27.06                          ,19.52                     ,-51.48                       ,28.14           ,23.92                   ,20.13        ,12.91               ,-68.92  ,- -                  ,11.14                     ,28.2    ,14.03                ,20.77                        ,16.63             ,27.99                ,3.36         ,16.35             ,-30.81       ,24.69                           ,24.25        ,20.13                      ,3.19               ,28.02    ,3.03               ,0.21                         ,-1.09         ,-256.75               ,3.76                ,164.93     ,5.32                        ,-107.22        ,-12.5                    ,-125.23                  ,48.72                          ,88.21                 ,- -                         ,79.86                          ,- -            ,-35.81         ,- -                         ,193.67                         ,-45.81              ,88.21                ,-851.56        ,-25.31               ,-48.21                  ,0.1457922082364569
 1 ,2011 ,-36.65                   ,-44.83          ,-0.26        ,-15.21                     ,- -                    ,3.56                    ,840.85                      ,-32.35        ,-28.39                      ,3.34                      ,-22.45            ,3.53                        ,-22.59              ,3.1      ,62.75             ,3.56    ,3.56    ,57.45            ,63.48                ,26.51             ,-39.08             ,0.46               ,2.42                 ,-78.17                         ,-78.17                  ,6.21                    ,-2          ,55.09           ,-5.02                ,16.97                          ,11.22                     ,-13.32                       ,12.98           ,15.71                   ,10.57        ,6.36                ,13.04   ,- -                  ,6.4                       ,8.45    ,18.43                ,13.4                         ,10.53             ,4.54                 ,0.59         ,11.03             ,-7.94        ,10.95                           ,10.61        ,10.57                      ,0.68               ,43.55    ,29.78              ,1.3                          ,-10.73        ,153.08                ,3.99                ,-28.39     ,2.42                        ,-3367.65       ,-23.21                   ,-196.33                  ,10.02                          ,26.38                 ,- -                         ,24.85                          ,3.82           ,-66.98         ,- -                         ,-66.67                         ,-610.98             ,26.38                ,103.43         ,-35.66               ,37.29                   ,-0.2533402647780566
 2 ,2012 ,-42.92                   ,-54.43          ,-14.59       ,-59.64                     ,- -                    ,2.01                    ,-76.72                      ,48.97         ,18.09                       ,0.45                      ,18.38             ,0.12                        ,18.77               ,9.5      ,91.82             ,2.01    ,2.01    ,49.63            ,78.71                ,108.3             ,-44.56             ,25.18              ,20.78                ,82.91                          ,82.91                   ,-13.43                  ,-11.52      ,38.22           ,0.58                 ,16.57                          ,14.71                     ,15.36                        ,1.81            ,13.82                   ,11           ,-12.33              ,1413.46 ,- -                  ,3.48                      ,21.97   ,1.44                 ,11.35                        ,8.25              ,2.9                  ,0.59         ,11.95             ,-53.8        ,13.9                            ,14.04        ,11                         ,0.46               ,30.9     ,14.78              ,4.18                         ,-2.81         ,53.42                 ,2.96                ,18.09      ,20.78                       ,-91.27         ,-3.49                    ,-814.29                  ,13.56                          ,10.68                 ,- -                         ,7.39                           ,25.74          ,49.29          ,- -                         ,417.54                         ,-123.15             ,10.68                ,3.32           ,-19.24               ,-4.49                   ,-0.1944922905574682
 3 ,2013 ,-2.78                    ,1.11            ,-7.88        ,16.84                      ,- -                    ,-13.02                  ,-559.16                     ,37.88         ,123.23                      ,-0.53                     ,150.82            ,0.18                        ,149.04              ,-10.04   ,-7.47             ,-13.02  ,-13.02  ,-5.25            ,-10.54               ,156.61            ,17.5               ,38.16              ,-6.25                ,182.55                         ,182.55                  ,-18.74                  ,-24.23      ,7.36            ,2.53                 ,-0.12                          ,0.87                      ,55.08                        ,-19.07          ,-2.56                   ,-1.58        ,-12.41              ,-51.97  ,- -                  ,-21.76                    ,-26     ,-8.27                ,-17.64                       ,-19.19            ,-1.11                ,-4.97        ,19.86             ,-31.44       ,17.21                           ,16.89        ,-1.58                      ,-4.75              ,-46.66   ,-54.37             ,21.66                        ,31.04         ,26.72                 ,-17.26              ,123.23     ,-6.25                       ,-1814.43       ,-27.71                   ,-249.87                  ,-9.93                          ,-22.72                ,- -                         ,-104.96                        ,37.43          ,-15.08         ,- -                         ,-354.22                        ,302.75              ,-22.72               ,-58.51         ,96.84                ,-63.9                   ,0.28587244825770863
 4 ,2014 ,-9.81                    ,3.19            ,-28.54       ,-12.63                     ,- -                    ,-35.17                  ,-73.46                      ,-47.05        ,-58.08                      ,-9.77                     ,-49.17            ,-9.74                       ,-49.19              ,-9.88    ,-0.08             ,-35.17  ,-35.17  ,-20.77           ,-28.12               ,-49.15            ,262.09             ,42.9               ,19.99                ,34.73                          ,34.73                   ,-41.19                  ,-44.76      ,-44.97          ,-26.58               ,-4.36                          ,1.24                      ,- -                          ,-2.55           ,-6.03                   ,-10.17       ,-22.61              ,-82.01  ,- -                  ,-26.03                    ,9.21    ,-11.27               ,-1.54                        ,-10.48            ,-6.8                 ,-12          ,-5.57             ,317.16       ,-10.17                          ,-9.94        ,-10.17                     ,-12.14             ,-11.07   ,-1.25              ,-0.11                        ,-0.75         ,26.38                 ,-75.09              ,-58.08     ,19.99                       ,-107.58        ,45                       ,-52.14                   ,-12.57                         ,-12.18                ,- -                         ,-97.71                         ,28.94          ,11.78          ,148.83                      ,-10.31                         ,-46.25              ,-12.18               ,-9.77          ,-8.2                 ,90.63                   ,-0.2137380130647647
 5 ,2015 ,-38.2                    ,2.37            ,-122.61      ,-5.27                      ,- -                    ,-208.22                 ,-636.15                     ,-274.79       ,-274.88                     ,-6.62                     ,-241.24           ,-7.83                       ,-243.1              ,-67.26   ,-47.03            ,-208.22 ,-208.22 ,-136.58          ,-275.09              ,-313.4            ,-32.06             ,1.43               ,22.67                ,11.13                          ,11.13                   ,-44.09                  ,-24.29      ,-89.76          ,-30.24               ,-4.23                          ,0.65                      ,- -                          ,-25.69          ,-7.29                   ,-11.07       ,-46.85              ,26.47   ,- -                  ,-45.83                    ,9.92    ,-13.07               ,-0.96                        ,-14.49            ,23.86                ,- -          ,-17.03            ,18.01        ,-12.7                           ,-8.6         ,-11.07                     ,0.07               ,9.4      ,19.69              ,5.89                         ,28.77         ,46.31                 ,-9.03               ,-274.88    ,22.67                       ,700            ,11.49                    ,-102.23                  ,-55.55                         ,-17.13                ,- -                         ,-52675                         ,-5.28          ,0.33           ,-96.18                      ,-165.11                        ,-56.83              ,-17.13               ,209.11         ,-8.62                ,-133.7                  ,-0.3248526761818942
 6 ,2016 ,-28.24                   ,-15.36          ,93.15        ,-25.67                     ,- -                    ,51.75                   ,-76.57                      ,-9.49         ,105.34                      ,9.27                      ,84.86             ,9.27                        ,84.85               ,-107.75  ,-110.8            ,51.75   ,51.75   ,169.16           ,111.47               ,179.62            ,-13.73             ,11.61              ,-17.98               ,0.59                           ,0.59                    ,-11.48                  ,-19.05      ,50              ,-2.91                ,-10.46                         ,0.17                      ,- -                          ,-77.95          ,-18.18                  ,-16.21       ,-15.85              ,30.23   ,- -                  ,-14.35                    ,2.89    ,-11.62               ,-3.14                        ,-5.28             ,38                   ,10.84        ,-39.01            ,2.4          ,-25.03                          ,-23.58       ,-16.21                     ,10.65              ,5.11     ,37.54              ,-9.13                        ,13.35         ,1.96                  ,-16.82              ,105.34     ,-17.98                      ,264.48         ,-24.74                   ,-491.67                  ,-59.87                         ,-47.91                ,- -                         ,-50.31                         ,21.95          ,149.33         ,-865.49                     ,-47.5                          ,-94.12              ,-47.91               ,-37.78         ,197.87               ,-80                     ,0.2137092675433916
 7 ,2017 ,14.78                    ,-29.26          ,-167.08      ,307.97                     ,- -                    ,-65.22                  ,867.02                      ,49.92         ,-35.14                      ,1.36                      ,-34.15            ,1.36                        ,-34.15              ,-1374.63 ,-1210.46          ,-65.22  ,-65.22  ,-158.44          ,-69.7                ,-42.12            ,27.45              ,2.32               ,-11.13               ,77.42                          ,77.42                   ,-0.19                   ,-28.17      ,-72.31          ,43.99                ,-31.38                         ,-30.71                    ,- -                          ,1.73            ,-30.36                  ,-19.25       ,-13.28              ,417.86  ,- -                  ,8.17                      ,-4.44   ,-52.85               ,-22.79                       ,-17.44            ,0.8                  ,-0.63        ,-44.84            ,-59.74       ,-23.96                          ,-20.76       ,-19.25                     ,-0.46              ,-47.72   ,-34.02             ,-2.14                        ,33.11         ,-17.87                ,-9.94               ,-35.14     ,-11.13                      ,-23.73         ,17.81                    ,1600                     ,18.87                          ,-13.95                ,- -                         ,-164.98                        ,3.71           ,-46.52         ,-76.45                      ,-114.34                        ,13118.75            ,-13.95               ,-31.87         ,-17.33               ,78.91                   ,-0.4147938495625114
 8 ,2018 ,15.68                    ,-28.28          ,207.05       ,32.86                      ,- -                    ,-145.02                 ,-93.29                      ,-103.81       ,-97.08                      ,-5.06                     ,-91.61            ,-5.06                       ,-91.61              ,41.22    ,22.08             ,-145.02 ,-145.02 ,165.44           ,-138.92              ,-94.02            ,40.53              ,0.11               ,-34.69               ,-44.42                         ,-44.42                  ,-2.25                   ,5.6         ,861.11          ,-27.58               ,-0.67                          ,2.21                      ,- -                          ,16.78           ,0.11                    ,-7.26        ,15.15               ,-88.45  ,- -                  ,-9.53                     ,3.25    ,-9.81                ,0.23                         ,-1.98             ,-7.53                ,-7.62        ,-23.94            ,-55.39       ,-12.87                          ,-11.87       ,-7.26                      ,-7.5               ,86.76    ,111.91             ,-5.23                        ,-19.95        ,-37.03                ,-17.69              ,-97.08     ,-34.69                      ,-87.12         ,-16.28                   ,-76.22                   ,105.19                         ,8.26                  ,- -                         ,-215.32                        ,-4.96          ,- -            ,-633.2                      ,1243.62                        ,-201.8              ,8.26                 ,-84.07         ,-43.23               ,2864.27                 ,-0.06906711038017677
 9 ,2019 ,2.72                     ,11.14           ,-5.84        ,-4.95                      ,- -                    ,10.78                   ,18.12                       ,0.45          ,108.7                       ,1.01                      ,24.36             ,1.01                        ,24.36               ,12.27    ,9.3               ,10.78   ,10.78   ,-8.33            ,7.84                 ,40.85             ,-1.16              ,-9.32              ,12.69                ,-42.65                         ,-42.65                  ,16.88                   ,6.53        ,-65.32          ,-29.22               ,9.18                           ,10.07                     ,- -                          ,19.64           ,9.73                    ,1.63         ,8.19                ,197.01  ,- -                  ,13.94                     ,17.08   ,5.53                 ,14.67                        ,14.52             ,3.86                 ,4.81         ,-16.96            ,128.43       ,-9.32                           ,-10.86       ,1.63                       ,4.64               ,40.7     ,57.83              ,-12.67                       ,-37.88        ,24.06                 ,3.92                ,108.7      ,12.69                       ,-1.66          ,18.06                    ,213.16                   ,-15.32                         ,34.91                 ,-50.75                      ,81.55                          ,-8.41          ,-5             ,-98.17                      ,-102.06                        ,-46.63              ,34.91                ,651.27         ,47.1                 ,-41.47                  ,0.3883234463515748
10 ,2020 ,-28.14                   ,-3.58           ,-57.62       ,-39.38                     ,- -                    ,-167.06                 ,573.15                      ,-1389.59      ,1082.92                     ,1.2                       ,641.86            ,1.2                         ,641.86              ,-37.92   ,-13.61            ,-167.06 ,-167.06 ,-41.02           ,-193.33              ,955.02            ,-21.32             ,-3.37              ,-2.26                ,12.56                          ,12.56                   ,-26.5                   ,44.83       ,-42.22          ,-2.38                ,-16.24                         ,-14.91                    ,- -                          ,-3.28           ,-15.49                  ,-13.59       ,-43.31              ,-54.27  ,-58.81               ,-35.34                    ,16.18   ,2.51                 ,13.56                        ,3.4               ,1.61                 ,0.66         ,-96.32            ,8.01         ,-38.55                          ,-34.73       ,-13.59                     ,0.66               ,17.15    ,79.49              ,-25.81                       ,50.98         ,101.83                ,-8.68               ,1082.92    ,-2.26                       ,623.38         ,-7.06                    ,-21.01                   ,-18.82                         ,-22.34                ,- -                         ,-39.96                         ,-2.22          ,31.58          ,- -                         ,992.31                         ,-116.88             ,-22.34               ,-27.21         ,4.52                 ,-89.29                  ,-0.35403476965670067
11 ,2021 ,60.12                    ,-14.26          ,263.23       ,83.6                       ,- -                    ,-610.94                 ,-78.92                      ,-152.28       ,-131.35                     ,0.85                      ,-117.92           ,1.48                        ,-117.81             ,111.01   ,31.78             ,-610.94 ,-610.94 ,126.84           ,-419.09              ,-111.29           ,68                 ,-0.2               ,-25.8                ,56.01                          ,56.01                   ,40.81                   ,-41.01      ,91.35           ,41.06                ,-0.21                          ,1.8                       ,- -                          ,44.62           ,2.73                    ,9            ,64.05               ,565.93  ,39.19                ,88.79                     ,-5      ,0.59                 ,-4.03                        ,8.03              ,5.61                 ,0.98         ,191.54            ,-46.23       ,17.41                           ,10.91        ,9                          ,0.9                ,-12.38   ,-21                ,2.19                         ,-25.28        ,-26.31                ,-4.69               ,-131.35    ,-25.8                       ,-78.12         ,-2.53                    ,-78.51                   ,116.8                          ,-20.48                ,- -                         ,-22.38                         ,0.65           ,-25            ,-812                        ,-204.05                        ,402.06              ,-20.48               ,-232.29        ,6.31                 ,-1299.6                 ,0.1518461116372194
12 ,2022 ,51.53                    ,16.42           ,74.16        ,62.55                      ,- -                    ,91.58                   ,-41.89                      ,137.99        ,174.94                      ,0.23                      ,274.1             ,0.1                         ,274.59              ,58.05    ,4.3               ,91.58   ,91.58   ,14.94            ,26.43                ,147.44            ,44.25              ,49.18              ,14.29                ,-8.37                          ,-8.37                   ,-4.05                   ,-2.69       ,-66.83          ,-9.55                ,7.6                            ,5.1                       ,- -                          ,32.13           ,9.86                    ,5.75         ,-14.7               ,-63.04  ,9.71                 ,-21.8                     ,4.58    ,-0.69                ,3.63                         ,-2.15             ,2.92                 ,-1.29        ,288.92            ,-67.73       ,24.68                           ,20.92        ,5.75                       ,-1.15              ,0.87     ,-16.58             ,15.3                         ,15.67         ,-42.51                ,5.05                ,174.94     ,14.29                       ,62.81          ,7.79                     ,1065.35                  ,36.47                          ,55.98                 ,- -                         ,92.83                          ,49.52          ,-44            ,-371.91                     ,173.43                         ,-123.31             ,55.98                ,6.65           ,32.51                ,-63.6                   ,1.1346486886010896
13 ,2023 ,-7.18                    ,18.42           ,-18.21       ,-15.55                     ,- -                    ,-24.69                  ,41.53                       ,-30.32        ,-28.97                      ,-0.71                     ,-33.59            ,-0.65                       ,-33.64              ,-9.2     ,-2.18             ,-24.69  ,-24.69  ,-11.88           ,-18.87               ,-28.96            ,-14.21             ,16.75              ,24.67                ,-32.1                          ,-32.1                   ,14.46                   ,40.09       ,63.64           ,-12.74               ,15.61                          ,12.95                     ,- -                          ,17.61           ,15.84                   ,10.66        ,21.99               ,204.02  ,4.13                 ,36.48                     ,-0.1    ,18.17                ,3.07                         ,9.14              ,4.45                 ,0.33         ,57.26             ,2.29         ,14.4                            ,13.02        ,10.66                      ,0.32               ,19.5     ,5.74               ,2.49                         ,-36.07        ,4.91                  ,8.19                ,-28.97     ,24.67                       ,-38.47         ,4.82                     ,-53.1                    ,-0.05                          ,50.75                 ,- -                         ,60.98                          ,15.91          ,- -            ,-130.37                     ,-61.2                          ,251.54              ,50.75                ,-113.62        ,-14.43               ,51.59                   ,-0.21331243449370274
