   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA ,EBIT  ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,                    5.32 ,13.8            ,        3.08 ,20.84                      ,- -                    ,                   4.43 ,6.71                        ,2.74          ,-0.59                       ,                     2.21 ,-2.48             ,                       2.28 ,-2.54               ,  4.45 ,-0.82             , 4.43 , 4.43 ,-0.16            ,-0.85                ,-5.3              ,-4.01              ,0.01               ,                4.52 ,75.61                          ,75.61                   ,8.71                    ,- -         ,- -             ,41.55                ,20.75                          ,19.29                     ,- -                          ,          36.08 ,                  21.16 ,       21.3  ,19.32               ,- -     ,- -                  ,-95.37                    ,18.12   ,34.2                 ,18.31                        ,18.35             ,26.83                ,       26.83 ,            16.3  ,- -          ,                          24.12 ,       24.12 ,                     21.3  ,             13.21 ,-41.37   ,-52.77             ,7.34                         ,2956.84       ,19.6                  ,               9.72 ,2.15       ,                       4.52 ,-138.45        ,- -                      ,298.54                   ,                          7.35 ,1688.95               ,- -                         ,1425.15                        ,          2.22 ,18559.37       ,- -                         ,-311.95                        ,-120.61             ,1688.95              ,-5.51          ,10.62                ,7.63                    ,0.2654174896117889
 1 ,2011 ,                   22.04 ,1.42            ,       22.49 ,22.29                      ,- -                    ,                  19.64 ,13.61                       ,24.26         ,24.48                       ,                    19.15 ,4.61              ,                      19.11 ,4.64                , 22.04 ,-0.01             ,19.64 ,19.64 ,0.37             ,-1.97                ,-1.62             ,16.16              ,-1.13              ,               27.47 ,-76.34                         ,-76.34                  ,36.05                   ,- -         ,- -             ,-32.41               ,22.31                          ,20.94                     ,- -                          ,         127.48 ,                  25.47 ,       25    ,21.35               ,-82.47  ,-1512.51             ,21.35                     ,28.45   ,29.37                ,28.46                        ,28.18             ,24.04                ,       24.04 ,            15.95 ,- -          ,                          22.08 ,       22.08 ,                     25    ,             12.84 ,44.62    ,18.46              ,2.82                         ,-44.3         ,37.3                  ,               5.06 ,24.48      ,                      27.47 ,211.39         ,27.55                    ,-19.31                   ,                         22.84 ,- -                   ,- -                         ,34.06                          ,         17.8  ,-12.28         ,13.09                       ,34.86                          ,-277.31             ,- -                  ,40.62          ,12.64                ,2.31                    ,0.07531630322724814
 2 ,2012 ,                   12.93 ,-2.25           ,       13.2  ,22.76                      ,- -                    ,                   8.17 ,24.71                       ,-3.41         ,-3.42                       ,                     5.29 ,-15.43            ,                       5.31 ,-15.44              , 12.87 ,-0.06             , 8.17 , 8.17 ,0.24             ,-4.22                ,-10.26            ,-3.37              ,7.55               ,               22.87 ,26                             ,26                      ,451.97                  ,- -         ,- -             ,517.33               ,- -                            ,- -                       ,- -                          ,        2119.28 ,                  20.98 ,       23.17 ,-32.51              ,-33.45  ,-108.82              ,190.66                    ,34.58   ,8.3                  ,34.22                        ,40.01             ,-29.64               ,        0.35 ,            18.99 ,- -          ,                           7    ,        7    ,                     23.17 ,              0.17 ,27.54    ,19.19              ,-30.98                       ,112.39        ,-17.39                ,              16.87 ,-3.42      ,                      22.87 ,-223.76        ,27.08                    ,-19.05                   ,                          9.2  ,- -                   ,- -                         ,7.86                           ,         13.24 ,148.89         ,- -                         ,9.72                           ,-108.06             ,- -                  ,9.2            ,9.2                  ,7.75                    ,0.06906276238758058
 3 ,2013 ,                   63.69 ,434.3           ,       57.94 ,49.55                      ,- -                    ,                  34.02 ,45.76                       ,23.41         ,22.75                       ,                    44.38 ,19.29             ,                      44.32 ,19.34               , 58.68 ,-3.06             ,34.02 ,34.02 ,-3.51            ,-18.12               ,-5.74             ,36.88              ,13.3               ,              104.94 ,95.45                          ,95.45                   ,-53.66                  ,- -         ,-60.6           ,-48.93               ,- -                            ,- -                       ,- -                          ,          85.3  ,                  85.3  ,       82.32 ,166.06              ,-18.99  ,- -                  ,16.7                      ,46.02   ,508.46               ,51.24                        ,48.59             ,164.83               ,      124.25 ,            29.03 ,- -          ,                         123.2  ,      124.69 ,                     82.32 ,             55.48 ,42.41    ,-36.62             ,44.44                        ,-56.24        ,-68.01                ,              19.59 ,22.75      ,                     104.94 ,30.11          ,107.83                   ,-16.39                   ,                         58.94 ,- -                   ,- -                         ,32.09                          ,         63.58 ,83.82          ,131.7                       ,19.78                          ,362.51              ,- -                  ,58.94          ,-15.14               ,3.01                    ,-0.3189638930373512
 4 ,2014 ,                   19.93 ,38.71           ,       18.94 ,-10.1                      ,- -                    ,                  20.67 ,-6.66                       ,49.85         ,50.21                       ,                    13.89 ,0.71              ,                      14.07 ,0.55                , 21.36 ,1.19              ,20.67 ,20.67 ,-0.82            ,0.62                 ,-8.11             ,11.3               ,0.73               ,               22.21 ,-62.45                         ,-62.45                  ,63.74                   ,- -         ,23.44           ,34.86                ,- -                            ,- -                       ,- -                          ,          10.82 ,                  10.82 ,       10.96 ,15.98               ,74.22   ,- -                  ,43.39                     ,16.57   ,42.3                 ,17.74                        ,19.29             ,9.25                 ,       12.09 ,            25.73 ,- -          ,                           4.23 ,        4.05 ,                     10.96 ,              8.38 ,18.54    ,13.92              ,-2.19                        ,-5.95         ,59.32                 ,               7.76 ,50.21      ,                      22.21 ,-324.12        ,-42.46                   ,76.72                    ,                         20.96 ,- -                   ,- -                         ,-11.8                          ,         14.72 ,-34.08         ,-53.37                      ,-33.9                          ,-227.87             ,- -                  ,20.96          ,23.26                ,9.76                    ,0.22958105326138267
 5 ,2015 ,                    9.62 ,2.75            ,       10.04 ,-3.5                       ,- -                    ,                  12.23 ,22.12                       ,5.66          ,5.84                        ,                     7.96 ,1.8               ,                       7.97 ,1.78                , 10.87 ,1.15              ,12.23 ,12.23 ,0.38             ,2.39                 ,-4.35             ,3.8                ,0.28               ,                9.22 ,946.05                         ,946.05                  ,26.86                   ,- -         ,-34.18          ,58.57                ,- -                            ,- -                       ,- -                          ,           7.36 ,                   7.36 ,        7.75 ,-0.47               ,6.73    ,- -                  ,3.64                      ,-2.22   ,11.43                ,-1.47                        ,-1.1              ,17.6                 ,       18.58 ,            22.71 ,- -          ,                          16.36 ,       16.17 ,                      7.75 ,             11.36 ,-2.56    ,-16.12             ,12.22                        ,53            ,2.37                  ,               5.6  ,5.84       ,                       9.22 ,-84.67         ,-13.11                   ,-79.46                   ,                         10.29 ,- -                   ,- -                         ,0.36                           ,          8.26 ,-25.23         ,50.12                       ,-3.25                          ,-668.96             ,- -                  ,10.29          ,3.96                 ,5.19                    ,0.1410353307708625
 6 ,2016 ,                    7.81 ,13.57           ,        7.48 ,5.41                       ,- -                    ,                   5.69 ,-1.24                       ,11.01         ,11.1                        ,                     8.19 ,3.89              ,                       8.22 ,3.85                ,  7.59 ,-0.2              , 5.69 , 5.69 ,-0.31            ,-1.97                ,3.15              ,-2.53              ,5.18               ,                9.95 ,-76.62                         ,-76.62                  ,28.04                   ,- -         ,172.09          ,6.71                 ,- -                            ,- -                       ,- -                          ,          10.89 ,                  10.89 ,       10.85 ,6.15                ,370.59  ,- -                  ,220.75                    ,2.52    ,14.74                ,3.28                         ,19.83             ,3.83                 ,        7.33 ,            21.37 ,- -          ,                           3.6  ,        3.57 ,                     10.85 ,              3.89 ,21.43    ,17.25              ,-7.01                        ,-66.73        ,-13.8                 ,              10.61 ,11.1       ,                       9.95 ,-182.91        ,15.55                    ,842.33                   ,                         16.14 ,- -                   ,- -                         ,44.28                          ,         13.79 ,163.9          ,-52.8                       ,65.56                          ,-184.72             ,- -                  ,16.14          ,1.52                 ,4.44                    ,0.06249726732665173
 7 ,2017 ,                   10.21 ,10.52           ,       10.19 ,12.47                      ,- -                    ,                   9.41 ,20.6                        ,1.76          ,0.9                         ,                     7.21 ,1.81              ,                       7.16 ,1.85                , 10.07 ,-0.13             , 9.41 , 9.41 ,-0.02            ,-0.72                ,-8.33             ,5.86               ,1.74               ,               10.86 ,-26.77                         ,-26.77                  ,14.29                   ,- -         ,-74.89          ,-5.32                ,- -                            ,- -                       ,- -                          ,           7.01 ,                   7.01 ,        6.88 ,-3.44               ,-90.18  ,- -                  ,-78.38                    ,27.16   ,10.25                ,25.99                        ,4.74              ,15.7                 ,       16.96 ,            21.3  ,- -          ,                           8.94 ,        8.89 ,                      6.88 ,              9.24 ,4.71     ,-3.85              ,9.54                         ,337.88        ,-12.92                ,               4.11 ,0.9        ,                      10.86 ,623.17         ,16.15                    ,-21.76                   ,                          8.93 ,- -                   ,- -                         ,-26.25                         ,          9.08 ,-21.94         ,88.21                       ,-56.69                         ,-88.54              ,- -                  ,8.93           ,-1.16                ,7.83                    ,-0.15741355193818962
 8 ,2018 ,                    9.22 ,-4.54           ,       10.05 ,43.98                      ,- -                    ,                   8.24 ,1.5                         ,13.7          ,14.18                       ,                     5.84 ,9.11              ,                       5.84 ,9.11                ,  8.23 ,-0.91             , 8.24 , 8.24 ,0.76             ,-0.9                 ,4.43              ,0.61               ,3.47               ,                8.22 ,50.58                          ,50.58                   ,21.3                    ,- -         ,148.5           ,29.19                ,- -                            ,- -                       ,- -                          ,           8.36 ,                   8.36 ,        8.55 ,18.34               ,129.09  ,- -                  ,61.8                      ,4.11    ,13.56                ,4.68                         ,7.08              ,9.84                 ,       11.74 ,            17.97 ,- -          ,                           9.73 ,        9.88 ,                      8.55 ,              6.87 ,6.31     ,-3.25              ,2.21                         ,-20.15        ,10.62                 ,               8.55 ,14.18      ,                       8.22 ,-22.59         ,95.52                    ,-54.65                   ,                          7.41 ,- -                   ,- -                         ,30.7                           ,          9.51 ,-27.92         ,-100.39                     ,88.71                          ,-352.3              ,- -                  ,7.41           ,9.31                 ,-5.83                   ,0.22185151900599231
 9 ,2019 ,                   12.33 ,33.56           ,       11.22 ,-20.99                     ,- -                    ,                  16.46 ,11.69                       ,19.92         ,19.99                       ,                     9.12 ,10                ,                       9.05 ,10.08               , 13.52 ,1.06              ,16.46 ,16.46 ,-0.99            ,3.68                 ,6.86              ,-4.46              ,2.53               ,               10.04 ,419.99                         ,419.99                  ,25.5                    ,- -         ,483.51          ,93.5                 ,-96.22                         ,-96.83                    ,- -                          ,          19.72 ,                  20.77 ,       21.59 ,25.91               ,179.5   ,- -                  ,111.24                    ,15.19   ,35.93                ,16.55                        ,22.57             ,20.93                ,       19.71 ,            15.98 ,111.19       ,                          20.84 ,       20.73 ,                     21.59 ,              9.84 ,20.93    ,0.16               ,-0.94                        ,-8.4          ,-5.17                 ,              17.58 ,19.99      ,                      10.04 ,-8.85          ,-49.9                    ,28.05                    ,                         13.63 ,- -                   ,- -                         ,113.57                         ,         11.89 ,47.31          ,-30039.61                   ,252.13                         ,568.94              ,- -                  ,13.63          ,10.88                ,-5.34                   ,-0.07604780199638705
10 ,2020 ,                   10.73 ,18.08           ,       10.26 ,10.13                      ,- -                    ,                   7.3  ,28.99                       ,-7.31         ,-9.37                       ,                     9.32 ,-17.12            ,                       9.25 ,-17.07              , 10.27 ,-0.41             , 7.3  , 7.3  ,-0.42            ,-3.1                 ,-18.17            ,2.29               ,3.5                ,               13.99 ,1426.5                         ,1426.5                  ,57.01                   ,- -         ,-80.36          ,239.34               ,46.5                           ,46.5                      ,- -                          ,           7.28 ,                   7.62 ,       11.78 ,28.87               ,- -     ,- -                  ,-65.87                    ,22.51   ,-2.9                 ,20.57                        ,11.11             ,50.13                ,       14.19 ,            18.74 ,219.46       ,                          12.39 ,       12.38 ,                     11.78 ,              8.3  ,1.85     ,-9.37              ,0.41                         ,894.18        ,12.99                 ,               8.25 ,-9.37      ,                      13.99 ,353.29         ,20.79                    ,-494.12                  ,                          4.36 ,- -                   ,- -                         ,-41.96                         ,         13.15 ,54.23          ,-11.54                      ,-32.12                         ,1197.91             ,- -                  ,4.36           ,-12.57               ,15.18                   ,-0.27853169820874957
11 ,2021 ,                   25.96 ,27.73           ,       25.85 ,32.46                      ,- -                    ,                  19.49 ,45.15                       ,-4.57         ,-9.02                       ,                    20.06 ,-24.29            ,                      20.08 ,-24.31              , 25.52 ,-0.36             ,19.49 ,19.49 ,-0.09            ,-5.14                ,-27.85            ,-28.7              ,0.99               ,               32.61 ,-68.64                         ,-68.64                  ,49.38                   ,- -         ,60.33           ,-36.61               ,268.48                         ,268.48                    ,- -                          ,         113.78 ,                 116.31 ,      107.99 ,52.3                ,120.26  ,- -                  ,526.68                    ,57.54   ,257.65               ,69.85                        ,85.22             ,101.21               ,      101.21 ,            23.79 ,-109.03      ,                         128.05 ,      128.08 ,                    107.99 ,             63.65 ,89.97    ,-16.71             ,-3.24                        ,-89.88        ,10.1                  ,              76.67 ,-9.02      ,                      32.61 ,-2.8           ,153.12                   ,-41.07                   ,                         18.52 ,- -                   ,- -                         ,216.76                         ,         21.25 ,76.58          ,73.31                       ,170.5                          ,-169.45             ,- -                  ,18.52          ,23.18                ,30.4                    ,-0.02934649304789594
12 ,2022 ,                   60.72 ,69.4            ,       60.12 ,42.77                      ,- -                    ,                  37.44 ,-30.15                      ,133.84        ,141.84                      ,                    47.58 ,63.89             ,                      47.6  ,63.87               , 61.03 ,0.2               ,37.44 ,37.44 ,-0.37            ,-14.48               ,50.49             ,50.95              ,5.11               ,               86.05 ,-33.83                         ,-33.83                  ,33.08                   ,- -         ,- -             ,7.37                 ,26.02                          ,26.02                     ,-95.78                       ,          15.44 ,                  15.28 ,       15.15 ,13.41               ,75.91   ,- -                  ,60.72                     ,10.73   ,4.2                  ,9.88                         ,15.67             ,15.49                ,       15.49 ,            21.25 ,849.38       ,                          14.61 ,       14.78 ,                     15.15 ,             11.68 ,18.15    ,2.93               ,3.36                         ,-33.19        ,-38.8                 ,               6.47 ,141.84     ,                      86.05 ,-43.39         ,-48.25                   ,-0.74                    ,                         93.91 ,- -                   ,- -                         ,30.28                          ,         55.12 ,203.43         ,260.66                      ,25.37                          ,-84.22              ,- -                  ,93.91          ,-32.52               ,-19.83                  ,0.12071568177274083
13 ,2023 ,                   21.99 ,40.05           ,       20.68 ,4.39                       ,- -                    ,                  31.62 ,102.96                      ,1.24          ,0.52                        ,                    13.16 ,-11.34            ,                      13.21 ,-11.37              , 21.44 ,-0.45             ,31.62 ,31.62 ,-1.07            ,7.9                  ,-17.75            ,15.28              ,2.91               ,               13.46 ,36.13                          ,36.13                   ,356.65                  ,6.54        ,30.29           ,277.01               ,21.52                          ,21.52                     ,19697.92                     ,           9.56 ,                  12.22 ,       16.32 ,44.13               ,-71.99  ,1391.69              ,-42.6                     ,37.99   ,-27.75               ,29.91                        ,18.45             ,16.01                ,       16.01 ,            23.1  ,57.78        ,                          14.73 ,       14.78 ,                     16.32 ,             13.96 ,18.66    ,3.38               ,1.57                         ,556.81        ,22.26                 ,               5.82 ,0.52       ,                      13.46 ,-77.32         ,21.33                    ,-599.82                  ,                         15.4  ,- -                   ,- -                         ,11.54                          ,         16.45 ,169.13         ,19.39                       ,12.18                          ,-148.57             ,- -                  ,15.4           ,-10.56               ,15.02                   ,-0.2877622405573117
