   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA ,EBIT  ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt  ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,16.7                     ,7.23            ,19.4         ,-2.92                      ,- -                    ,29.71                   ,-89.39                      ,15.95         ,26.02                       ,-5.17                     ,32.92             ,-2.64                       ,29.46               ,28.96  ,10.51             ,29.71 ,29.71 ,2.32             ,11.15                ,8.02              ,-2.18              ,             22.03 ,               17.26 ,-14.39                         ,-16.24                  ,-16.3                   ,- -         ,9.97            ,-5.49                ,12.71                          ,17.74                     ,-85.71                       ,7.5             ,7.09                    ,3.49         ,-34.94              ,- -     ,               20.16 ,-21.25                    ,-27.27   ,5.69                 ,5.38                         ,-7.64             ,-1.73                ,- -          ,96.85             ,-19.68       ,7.86                            ,7.85         ,3.49                       ,-1.57              ,-16.18   ,-22.28             ,6.08                         ,20.02         ,-30.13                ,19.3                ,25.97      ,                      17.26 ,44.8           ,13.91                    ,-28.42                   ,382.26                         ,-21.24                ,-97.75                      ,-204.04                        ,         15.72 ,- -            ,-62.21                      ,-43.95                         ,107.99              ,-21.24               ,872.22         ,-69.25               ,282.59                  ,-0.3177451806845898
 1 ,2011 ,13.92                    ,10.26           ,14.86        ,3.64                       ,- -                    ,19.05                   ,293.88                      ,21.95         ,23.01                       ,-2.15                     ,25.77             ,-4.33                       ,28.63               ,18.48  ,4                 ,19.05 ,19.05 ,0.83             ,4.5                  ,8.02              ,3.29               ,             17.47 ,                8.68 ,-16.12                         ,-45                     ,10.71                   ,- -         ,26.68           ,5.22                 ,13.56                          ,15.07                     ,2862.5                       ,0.11            ,3.63                    ,4.05         ,-26                 ,- -     ,               40.17 ,-1.34                     ,- -      ,0.16                 ,-0.49                        ,-0.85             ,-4.27                ,- -          ,53.53             ,16.56        ,5.7                             ,5.69         ,4.05                       ,-3.34              ,-44.36   ,-47.36             ,43.49                        ,6.65          ,-12.66                ,10.29               ,23.01      ,                       8.68 ,9.74           ,17.56                    ,-12.89                   ,43.89                          ,46.47                 ,-3595.83                    ,20.75                          ,         14.95 ,- -            ,102.4                       ,114.27                         ,129.27              ,46.47                ,43.63          ,-23.41               ,16.92                   ,0.4541134531652593
 2 ,2012 ,13.42                    ,17.84           ,12.33        ,5.43                       ,- -                    ,14.2                    ,-2189.12                    ,-60.98        ,-41.25                      ,-2.35                     ,-39.85            ,-4.1                        ,-38.75              ,14.28  ,0.75              ,14.2  ,14.2  ,-0.96            ,0.69                 ,-48.21            ,0.08               ,             44.04 ,               15.62 ,-17.1                          ,-2.49                   ,21.09                   ,- -         ,61.66           ,28.25                ,6.04                           ,12.08                     ,369.9                        ,-0.28           ,10.39                   ,15.11        ,263.93              ,- -     ,               14.46 ,130.48                    ,- -      ,-9.09                ,-9.09                        ,48.78             ,0.43                 ,- -          ,16.45             ,-2.84        ,4.51                            ,4.51         ,15.11                      ,-0.15              ,-2.49    ,-6.7               ,-6.35                        ,-44.36        ,-51.78                ,13.33               ,-41.25     ,                      15.62 ,134.99         ,-4.55                    ,3.24                     ,29.36                          ,6.52                  ,21.39                       ,5                              ,         40.66 ,- -            ,-64.92                      ,-19.64                         ,-96.53              ,6.52                 ,31.66          ,16.91                ,120.23                  ,0.3706117849075792
 3 ,2013 ,13.02                    ,12.15           ,13.25        ,1.76                       ,- -                    ,16.08                   ,-100.37                     ,228.82        ,132.49                      ,-2.55                     ,138.36            ,-3.24                       ,140.07              ,16.24  ,2.84              ,16.08 ,16.08 ,0.2              ,2.7                  ,105.51            ,1.12               ,             49.01 ,               19.22 ,51.05                          ,5.4                     ,44.6                    ,- -         ,-76.07          ,-33.63               ,6                              ,11.62                     ,-17.39                       ,1.68            ,-0.33                   ,-10.14       ,-65.3               ,- -     ,                9.23 ,-45.5                     ,- -      ,7.27                 ,7.27                         ,-26.63            ,-5.59                ,- -          ,2.11              ,-112.28      ,-2.75                           ,-2.75        ,-10.14                     ,-4.67              ,5.4      ,8.38               ,10.89                        ,21.77         ,-47.91                ,11.76               ,132.49     ,                      19.22 ,-13.55         ,21.77                    ,202.9                    ,-39.67                         ,25.27                 ,-65.98                      ,-51.78                         ,         45.21 ,- -            ,655.63                      ,-34.24                         ,-286.67             ,25.27                ,-44.94         ,112.39               ,-74.03                  ,0.18455133064550022
 4 ,2014 ,7.85                     ,-0.75           ,10.04        ,-0.23                      ,- -                    ,12.54                   ,-2940                       ,6.44          ,9.2                         ,-3.66                     ,13.34             ,-3.85                       ,13.57               ,12.38  ,4.21              ,12.54 ,12.54 ,2.04             ,4.35                 ,1.25              ,7.85               ,             20.86 ,                9.57 ,-7.17                          ,-9.84                   ,-0.18                   ,- -         ,109.81          ,22.24                ,9.24                           ,13.84                     ,9.24                         ,1.94            ,3.1                     ,7.27         ,75.58               ,- -     ,                6.02 ,38.55                     ,- -      ,8.4                  ,8.4                          ,22.78             ,-3.05                ,- -          ,14.51             ,-180.95      ,2.02                            ,2.02         ,7.27                       ,-2.84              ,-9.84    ,-11.62             ,-7.12                        ,-11.77        ,2.36                  ,- -                 ,9.2        ,                       9.57 ,-35.5          ,-3.91                    ,-80.32                   ,138.42                         ,17.41                 ,-65.51                      ,-19.16                         ,         16.44 ,- -            ,-23.24                      ,271.02                         ,-291.07             ,17.41                ,160.76         ,-52.09               ,118.34                  ,0.07245183612697059
 5 ,2015 ,9.27                     ,7.18            ,9.76         ,1.15                       ,- -                    ,11.39                   ,-80.52                      ,16.46         ,16.37                       ,-2.2                      ,18.98             ,-2.62                       ,19.49               ,11.5   ,2.03              ,11.39 ,11.39 ,0.44             ,1.93                 ,6.49              ,-8.13              ,             19.63 ,               13.56 ,52.28                          ,78.49                   ,-26.13                  ,- -         ,-7.44           ,13.91                ,-0.21                          ,9.4                       ,12.24                        ,-0.12           ,1.16                    ,4.32         ,-21.35              ,- -     ,                5.23 ,-10.52                    ,- -      ,-2.52                ,-2.52                        ,-6.83             ,-1.24                ,- -          ,29.7              ,335.29       ,8.86                            ,8.86         ,4.32                       ,-1.54              ,78.49    ,63.96              ,41.54                        ,27.31         ,-190.14               ,18.95               ,16.37      ,                      13.56 ,27.98          ,8.72                     ,183.15                   ,-8.62                          ,-25.14                ,292.47                      ,52.5                           ,         17    ,- -            ,-29.33                      ,-44.38                         ,-822.43             ,-25.14               ,-7.25          ,41.77                ,-21.47                  ,0.19864013911590006
 6 ,2016 ,8.66                     ,8.26            ,8.75         ,17.04                      ,- -                    ,7.53                    ,2008.43                     ,-10.93        ,-5.33                       ,-2.21                     ,-3.19             ,-1.75                       ,-3.64               ,7.23   ,-1.32             ,7.53  ,7.53  ,0.08             ,-1.04                ,-12.87            ,8.66               ,             17.29 ,                1.62 ,48.6                           ,59.72                   ,99.84                   ,- -         ,-20.84          ,31.41                ,13.88                          ,12.02                     ,16.16                        ,81.29           ,69.45                   ,59.15        ,57.06               ,- -     ,               41.75 ,49.72                     ,49531.25 ,43.33                ,359.7                        ,199.43            ,-3.75                ,- -          ,-11.66            ,518.92       ,10.29                           ,10.29        ,59.15                      ,-2.41              ,-391.73  ,-364.52            ,-278.02                      ,-12.23        ,-55.19                ,- -                 ,-5.33      ,                       1.62 ,-21.17         ,18.18                    ,-0.54                    ,-15.34                         ,26.33                 ,39.77                       ,660.7                          ,         14.7  ,- -            ,145.95                      ,-307.52                        ,38.1                ,26.33                ,-18.14         ,33.66                ,-10.58                  ,-0.0816383174549018
 7 ,2017 ,21.72                    ,17.51           ,22.67        ,16.41                      ,- -                    ,24.6                    ,-73.2                       ,45.96         ,11.82                       ,-3.83                     ,16.28             ,-0.79                       ,12.7                ,23.92  ,1.81              ,24.6  ,24.6  ,0.78             ,2.36                 ,-8.14             ,21.72              ,             21.63 ,               10.76 ,50.35                          ,75.73                   ,1.83                    ,- -         ,5.72            ,32.91                ,4.79                           ,7.19                      ,-51                          ,2.6             ,-1.54                   ,6.16         ,-2.34               ,14475   ,                8.27 ,24.21                     ,4.63     ,19.6                 ,9.3                          ,13.15             ,-2.85                ,- -          ,-9.12             ,-291.7       ,-0.46                           ,-0.46        ,6.16                       ,-2.92              ,-17.25   ,-16.86             ,-9.57                        ,7             ,-86.92                ,- -                 ,11.82      ,                      10.76 ,150.59         ,6.33                     ,29.89                    ,65.2                           ,35.18                 ,-232.11                     ,-106.73                        ,         16.96 ,-84.42         ,-3.72                       ,-179.23                        ,88.24               ,35.18                ,68.3           ,-22.22               ,47.74                   ,0.27756522240528025
 8 ,2018 ,12.26                    ,18.72           ,10.87        ,7.86                       ,- -                    ,11.49                   ,60.98                       ,9.51          ,53.77                       ,-2.73                     ,58.08             ,-2.76                       ,58.13               ,11.44  ,-0.73             ,11.49 ,11.49 ,-1.24            ,-0.68                ,36.97             ,-25.38             ,             24.87 ,               10.25 ,-12.87                         ,-17.34                  ,9.24                    ,- -         ,22.63           ,-4.24                ,9.72                           ,10.77                     ,111.94                       ,-0.71           ,4.2                     ,1.84         ,15.19               ,- -     ,               60.93 ,13.12                     ,0.07     ,-15.35               ,-5.19                        ,0.01              ,-1.31                ,- -          ,19.04             ,-37.7        ,3.8                             ,3.8          ,1.84                       ,-3.77              ,-0.29    ,-3.95              ,-14.56                       ,-15.35        ,2496.88               ,50.44               ,53.77      ,                      10.25 ,-31.79         ,39.15                    ,-41.99                   ,38.06                          ,1.56                  ,-226.1                      ,-519.59                        ,         21.47 ,- -            ,4.37                        ,89.74                          ,-140.08             ,1.56                 ,41.1           ,2.67                 ,-10.21                  ,0.22724809171918914
 9 ,2019 ,11.49                    ,8.01            ,12.29        ,6.82                       ,- -                    ,13.57                   ,-31.52                      ,16.23         ,17.27                       ,-2.16                     ,19.86             ,-2.45                       ,20.21               ,13.28  ,1.61              ,13.57 ,13.57 ,0.72             ,1.86                 ,5.18              ,-2.8               ,             20.91 ,                7.01 ,3.12                           ,-3.97                   ,64.52                   ,- -         ,15.85           ,15.12                ,9.02                           ,15.32                     ,-47.16                       ,5.17            ,1.17                    ,4.84         ,41.03               ,- -     ,                1.27 ,18.66                     ,0.6      ,6.34                 ,2.35                         ,7.58              ,-0.82                ,- -          ,19.3              ,-218.83      ,1.99                            ,1.99         ,4.84                       ,-0.97              ,5        ,2.94               ,-18.35                       ,-2.99         ,94.74                 ,14.71               ,17.27      ,                       7.01 ,42.53          ,24.46                    ,137.22                   ,0.56                           ,5.29                  ,-139.1                      ,-80.84                         ,         18.3  ,- -            ,19.67                       ,7.3                            ,-108.19             ,5.29                 ,0.28           ,12.5                 ,-14.25                  ,0.1444896492836547
10 ,2020 ,-4.92                    ,8.33            ,-7.86        ,-10.16                     ,- -                    ,-8.5                    ,-41.59                      ,-7.35         ,-10.05                      ,-2.3                      ,-7.93             ,-2.16                       ,-8.07               ,-7.46  ,-2.67             ,-8.5  ,-8.5  ,-3.09            ,-3.76                ,-5.39             ,-9.56              ,             20.17 ,               16.92 ,65.98                          ,107.82                  ,-37.21                  ,- -         ,9.66            ,31.83                ,1.56                           ,9                         ,-89.29                       ,7.6             ,3.24                    ,11.5         ,-33.12              ,71.47   ,                6.3  ,8.16                      ,25.95    ,17.84                ,23.39                        ,18                ,1.09                 ,- -          ,4.34              ,-154.46      ,4.4                             ,4.4          ,11.5                       ,-3.09              ,-12.48   ,-16.17             ,-22.79                       ,21.88         ,86.75                 ,5.13                ,-10.05     ,                      16.92 ,13.45          ,2.21                     ,33.24                    ,-18.34                         ,-2.65                 ,153.86                      ,-341.46                        ,         17.41 ,189.87         ,-5.73                       ,-67.1                          ,5884.09             ,-2.65                ,-19.32         ,36.7                 ,-9.21                   ,0.008652965046549
11 ,2021 ,10.34                    ,10.15           ,10.39        ,1.98                       ,- -                    ,12.17                   ,-184.77                     ,16.48         ,13.3                        ,-20.94                    ,43.31             ,-1.57                       ,15.11               ,11.79  ,1.31              ,12.17 ,12.17 ,0.04             ,1.66                 ,2.68              ,5.21               ,             32.86 ,                4.82 ,-7.63                          ,1.22                    ,29.29                   ,- -         ,13.7            ,-0.14                ,-0.8                           ,7.16                      ,638.1                        ,1.12            ,3.78                    ,2.44         ,29.2                ,-66.69  ,               27.27 ,8.47                      ,-5.19    ,5.06                 ,-2.09                        ,1.34              ,143.94               ,- -          ,8.97              ,23.16        ,3.81                            ,3.81         ,2.44                       ,1.06               ,-42.3    ,-44.41             ,-31.46                       ,-7.94         ,-15.77                ,4.88                ,13.3       ,                       4.82 ,22.33          ,30.29                    ,-20.2                    ,45.85                          ,-4.21                 ,-76.06                      ,-110.65                        ,          5.03 ,- -            ,6.93                        ,263.16                         ,-91.58              ,-4.21                ,49.65          ,-21.77               ,28.73                   ,-0.27207645569082584
12 ,2022 ,21.59                    ,15.35           ,23.21        ,20.25                      ,- -                    ,24.51                   ,-703.52                     ,12.91         ,21.49                       ,-2.37                     ,24.44             ,-2.38                       ,24.45               ,23.67  ,1.7               ,24.51 ,24.51 ,1.33             ,2.4                  ,-0.08             ,-1.35              ,             17.25 ,                7.09 ,0.05                           ,-4.84                   ,6.07                    ,- -         ,43.99           ,9.41                 ,18.71                          ,15.73                     ,25.28                        ,-1.83           ,0.01                    ,3.14         ,46.08               ,125.23  ,               12.46 ,32.49                     ,1.11     ,-7.54                ,-1.69                        ,10.18             ,-46.39               ,-0.3         ,4.98              ,-643.35      ,-5.34                           ,-5.34        ,3.14                       ,-1.42              ,50.58    ,59.08              ,-3.04                        ,-17.42        ,-49.6                 ,23.26               ,21.49      ,                       7.09 ,21.26          ,11.07                    ,14.25                    ,23.79                          ,37.59                 ,-388.63                     ,2721.05                        ,         14.47 ,-55.38         ,33.58                       ,-11.89                         ,180.45              ,37.59                ,23.12          ,-37.91               ,1.89                    ,0.16038073749084258
13 ,2023 ,11.41                    ,14.55           ,10.64        ,5.96                       ,- -                    ,11.41                   ,-42.39                      ,16            ,15.48                       ,-2                        ,17.84             ,-2.39                       ,18.31               ,11.33  ,-0.07             ,11.41 ,11.41 ,-0.69            ,0.01                 ,3.66              ,2.51               ,             19.5  ,                9.52 ,8.67                           ,3.81                    ,13.21                   ,- -         ,15.51           ,11.01                ,6.27                           ,-1.14                     ,-10.07                       ,3.37            ,3.02                    ,5.85         ,18.26               ,- -     ,               29.47 ,10.77                     ,1.3      ,-7.47                ,-1.37                        ,3.7               ,1.28                 ,1.28         ,11.94             ,-44.41       ,8.86                            ,8.86         ,5.85                       ,-2.11              ,-38.22   ,-43.25             ,-48.57                       ,0.22          ,-23.76                ,8.68                ,15.48      ,                       9.52 ,17.52          ,27.08                    ,30.89                    ,10.11                          ,9.18                  ,-38.45                      ,-53.22                         ,         17.11 ,- -            ,4.42                        ,39.98                          ,-47.61              ,9.18                 ,10.16          ,14.68                ,-4.65                   ,0.020774946999156274
