Year,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,Accounts & Notes Receiv,Inventories,Other ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",LT Investments & Receivables,Other LT Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,ST Debt,Other ST Liabilities,Total Current Liabilities,LT Debt,Other LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Share Capital & APIC,Common Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Total Equity,Total Liabilities & Equity,Shares Outstanding,Net Debt,Net Debt to Equity,Tangible Common Equity Ratio,Current Ratio,Cash Conversion Cycle,Number of Employees
2009 Y,55703,55703,44477,- -,- -,100180,7067,10801,254449,409766,671282,771462,125078,2405,- -,127483,201449,389750,591199,718682,8634,15,35056,-560,46688,52780,771462,1361,148151,280.7,4.08,0.79,- -,61388
2010 Y,96147,66498,54150,- -,- -,150297,6154,10630,290515,360732,657401,807698,129184,3762,- -,132946,202404,406941,609345,742291,13537,16,38603,-467,57211,65407,807698,1512,139668,213.54,5.58,1.13,- -,62542
2011 Y,106750,76255,48669,- -,- -,155419,6457,11309,262616,325406,594479,749898,123615,3118,- -,126733,204678,348409,553087,679820,22856,20,40341,-157,62049,70078,749898,1927,131541,187.71,7.79,1.23,- -,61899
2012 Y,117217,77348,64288,- -,- -,181505,5946,11471,161618,431891,599455,780960,127722,2779,- -,130501,184657,400374,585031,715532,23446,20,39912,-516,62109,65428,780960,1974,110088,168.26,6.94,1.39,- -,57061
2013 Y,151855,98425,57104,- -,- -,208959,6019,12439,184796,432928,623743,832702,157125,6375,- -,163500,163557,436615,600172,763672,24590,20,42172,-1093,65921,69030,832702,1945,71507,103.59,6.8,1.28,- -,55794
2014 Y,156613,87397,48961,- -,- -,205574,6108,12327,201697,388131,595936,801510,181069,3656,- -,184725,163462,381219,544681,729406,24269,20,44625,-1248,70900,72104,801510,1951,79721,110.56,7.12,1.11,- -,55802
2015 Y,120842,54083,45407,- -,- -,166249,6373,13513,183861,430982,621216,787465,186626,3608,- -,190234,161797,359250,521047,711281,24173,20,49204,-1656,75182,76184,787465,1920,111322,146.12,7.6,0.87,- -,56218
2016 Y,106551,43381,46460,- -,- -,153011,25,25,189821,472092,661938,814949,190513,2370,- -,192883,174464,370425,544889,737772,23291,20,53679,-2643,76050,77177,814949,1852,133453,172.92,7.49,0.79,- -,55311
2017 Y,101367,46164,56187,- -,- -,157554,- -,- -,207493,486686,694179,851733,191510,3553,- -,195063,200300,377904,578204,773267,23565,20,57577,-3060,77391,78466,851733,1788,157689,200.96,7.23,0.81,- -,57633
2018 Y,112901,51840,53298,- -,- -,166199,- -,- -,237808,449524,687332,853531,179559,3581,- -,183140,195547,393438,588985,772125,23814,20,64175,-2292,80246,81406,853531,1700,147288,180.93,7.58,0.91,- -,60348
2019 Y,111882,49659,55646,- -,- -,167528,- -,- -,274562,453339,727901,895429,197834,9670,- -,207504,197655,407573,605228,812732,23955,20,70589,-2788,81549,82697,895429,1594,157666,190.66,7.33,0.81,- -,60431
2020 Y,177835,67452,97737,- -,- -,275572,21,21,362330,477939,840290,1115862,227437,14144,- -,241581,218798,552334,771132,1012713,25566,20,78694,-1962,101781,103149,1115862,1810,165490,160.44,7.03,1.14,- -,68000
2021 Y,189668,86838,96018,- -,- -,285686,16,16,373793,528645,902454,1188140,228685,10337,- -,239022,232831,609689,842520,1081542,28861,20,89432,-3102,105441,106598,1188140,1772,156330,146.65,6.33,1.2,- -,75000
2022 Y,177044,92747,78540,- -,- -,255584,4,4,336881,587762,924647,1180231,216134,5135,- -,221269,241081,616650,857731,1079000,29359,20,94862,-6253,100141,101231,1180231,1675,153469,151.6,5.9,1.16,- -,82000
2023 Y,81384,58661,80105,- -,- -,161489,23,23,359307,672874,1032204,1193693,208148,8920,- -,217068,267467,609176,876643,1093711,29852,20,97996,-6421,99038,99982,1193693,1627,217726,217.77,5.77,0.74,- -,80000
